source,destination,demand_id,allowed_rate_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
5,10,0,0,3580,0,0,0~,3
2,0,1,0,2770,0,0,0~,3
4,10,2,0,1745,0,0,0~,3
7,6,3,0,2766,0,0,0~,2
7,8,4,0,11969,0,0,0~,4
4,7,5,0,16437,0,0,0~,1
5,2,6,0,27187,0,0,0~,1
7,10,7,0,9684,0,0,0~,2
7,9,8,0,22906,0,0,0~,1
3,0,9,0,1642,0,0,0~,4
4,0,10,0,832,0,1,2,2
0,6,11,0,630,0,0,0~,3
2,3,12,0,31363,0,0,0~,3
6,8,13,0,3823,0,0,0~,3
4,5,14,0,3337,0,1,2,2
3,5,15,0,7694,0,0,0~,2
11,8,16,0,40069,0,0,0~,1
6,11,17,0,4507,0,0,0~,3
9,8,18,0,5447,0,0,0~,5
11,3,19,0,16062,0,0,0~,4
6,10,20,0,1946,0,0,0~,2
3,6,21,0,4165,0,1,1,1
5,8,22,0,18695,0,0,0~,2
0,5,23,0,789,0,0,0~,2
8,9,24,0,5169,0,0,0~,5
1,8,25,0,8783,0,0,0~,2
0,9,26,0,233,0,0,0~,4
9,3,27,0,5128,0,0,0~,1
11,6,28,0,10130,0,0,0~,3
1,11,29,0,37150,0,0,0~,1
6,7,30,0,2783,0,0,0~,2
6,4,31,0,2893,0,1,1,1
8,7,32,0,34167,0,0,0~,4
8,2,33,0,122327,0,0,0~,1
10,4,34,0,7754,0,0,0~,3
6,3,35,0,3962,0,0,0~,1
5,6,36,0,4841,0,0,0~,1
0,11,37,0,5538,0,0,0~,2
2,10,38,0,5082,0,0,0~,4
2,8,39,0,23882,0,0,0~,1
10,8,40,0,12889,0,0,0~,5
6,9,41,0,1213,0,0,0~,2
8,6,42,0,6894,0,0,0~,3
10,3,43,0,7469,0,0,0~,1
9,2,44,0,6961,0,0,0~,4
9,0,45,0,646,0,0,0~,4
10,2,46,0,24371,0,0,0~,4
5,11,47,0,13342,0,0,0~,2
11,7,48,0,44119,0,0,0~,3
7,0,49,0,1337,0,0,0~,3
7,5,50,0,11906,0,0,0~,3
5,3,51,0,10771,0,0,0~,2
11,5,52,0,10055,0,0,0~,2
9,4,53,0,2883,0,0,0~,2
1,4,54,0,56067,0,0,0~,1
8,1,55,0,17991,0,0,0~,2
4,3,56,0,1454,0,0,0~,2
0,2,57,0,3128,0,0,0~,3
1,7,58,0,69016,0,0,0~,2
7,4,59,0,161581,0,1,1,1
3,11,60,0,10290,0,0,0~,4
2,1,61,0,36737,0,0,0~,2
5,0,62,0,1992,0,0,0~,2
6,1,63,0,2001,0,1,2,2
4,11,64,0,15095,0,0,0~,2
11,10,65,0,7930,0,0,0~,5
11,1,66,0,25503,0,0,0~,1
1,2,67,0,6142,0,0,0~,2
5,7,68,0,22366,0,0,0~,3
4,1,69,0,26089,0,0,0~,1
9,7,70,0,9589,0,0,0~,1
8,0,71,0,1076,0,0,0~,3
1,5,72,0,9094,0,0,0~,1
3,2,73,0,14012,0,0,0~,3
2,5,74,0,14471,0,0,0~,1
11,4,75,0,26779,0,0,0~,2
10,9,76,0,26143,0,0,0~,1
8,10,77,0,8686,0,0,0~,5
7,2,78,0,424969,0,0,0~,4
10,11,79,0,16178,0,0,0~,5
3,1,80,0,3424,0,0,0~,3
9,11,81,0,3962,0,0,0~,4
9,5,82,0,3338,0,0,0~,3
3,7,83,0,7652,0,0,0~,2
10,6,84,0,13517,0,0,0~,2
11,9,85,0,6207,0,0,0~,4
1,10,86,0,2604,0,0,0~,4
1,0,87,0,2146,0,1,1,1
7,3,88,0,6459,0,0,0~,2
2,6,89,0,33734,0,0,0~,2
2,4,90,0,329673,0,1,3,3
10,1,91,0,41339,0,0,0~,4
0,7,92,0,1016,0,0,0~,3
11,0,93,0,1982,0,0,0~,2
2,9,94,0,3602,0,0,0~,4
10,0,95,0,932,0,0,0~,5
0,4,96,0,1754,0,0,0~,2
5,1,97,0,8016,0,0,0~,1
1,9,98,0,2174,0,0,0~,3
0,10,99,0,249,0,0,0~,5
3,4,100,0,7649,0,0,0~,2
6,5,101,0,3800,0,0,0~,1
0,1,102,0,1140,0,0,0~,1
2,11,103,0,21896,0,0,0~,2
9,6,104,0,2006,0,1,2,2
3,9,105,0,22050,0,0,0~,1
4,9,106,0,630,0,0,0~,2
4,8,107,0,6840,0,0,0~,3
4,2,108,0,12913,0,0,0~,3
5,4,109,0,14702,0,0,0~,2
4,6,110,0,2026,0,0,0~,1
7,1,111,0,44484,0,0,0~,2
7,11,112,0,71197,0,0,0~,3
3,10,113,0,6470,0,0,0~,1
10,7,114,0,36468,0,0,0~,2
1,3,115,0,3360,0,0,0~,3
1,6,116,0,2429,0,0,0~,2
10,5,117,0,29555,0,0,0~,3
8,11,118,0,47980,0,0,0~,1
9,1,119,0,955,0,0,0~,3
8,4,120,0,32998,0,0,0~,3
0,8,121,0,1149,0,0,0~,3
11,2,122,0,34597,0,0,0~,2
6,2,123,0,7815,0,0,0~,2
5,9,124,0,2094,0,0,0~,3
0,3,125,0,415,0,0,0~,4
2,7,126,0,385991,0,0,0~,4
8,5,127,0,8773,0,0,0~,2
3,8,128,0,6177,0,0,0~,4
6,0,129,0,745,0,0,0~,3
9,10,130,0,6139,0,0,0~,1
8,3,131,0,11677,0,0,0~,4
