source,destination,link_id,used_rate_c,usage,capacity_c
11,8,26,16290.6,0.407266,40000
11,1,6,33537.7,0.872532,38437.2
10,9,28,8029.72,0.200743,40000
10,3,16,12572.6,0.314315,40000
9,10,29,3721.76,0.093044,40000
9,7,24,17922.7,0.448069,40000
9,3,14,15247.3,0.381183,40000
8,11,27,28314.8,0.707869,40000
8,2,10,19186.8,0.479669,40000
7,9,25,18697.3,0.467433,40000
7,4,20,33219.8,0.830495,40000
6,5,22,28755.9,0.749022,38391.3
6,4,18,20071.7,0.522818,38391.3
6,3,12,21357.2,0.556303,38391.3
5,6,23,38391.3,1,38391.3
5,2,8,28591.3,0.714781,40000
5,1,4,15117.5,0.393304,38437.2
4,7,21,23000.9,0.575024,40000
4,6,19,4745.08,0.123598,38391.3
4,1,2,27085,0.704656,38437.2
3,10,17,6122.44,0.153061,40000
3,9,15,13168.2,0.329206,40000
3,6,13,30203,0.786715,38391.3
2,8,11,21522.8,0.538069,40000
2,5,9,38064.6,0.951614,40000
1,11,7,23082.7,0.60053,38437.2
1,5,5,13639.5,0.354851,38437.2
1,4,3,38437.2,1,38437.2
1,0,0,1065.88,0.0277304,38437.2
0,1,1,1061.97,0.0276288,38437.2
