source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
5,10,0,235.325,3580,0.0657333,1,3,3,1
2,0,1,182.081,2770,0.0657333,2,3.5,3,2
4,10,2,114.705,1745,0.0657333,2,3,3,1
7,6,3,181.818,2766,0.0657333,3,3,2,3
7,8,4,786.762,11969,0.0657333,2,5.5,4,1
4,7,5,1080.46,16437,0.0657333,1,1,1,1
5,2,6,1787.09,27187,0.0657333,1,1,1,1
7,10,7,636.561,9684,0.0657333,1,2,2,1
7,9,8,1505.69,22906,0.0657333,1,1,1,1
3,0,9,107.934,1642,0.0657333,2,4,4,2
4,0,10,54.6901,832,0.0657333,1,2,2,1
0,6,11,41.412,630,0.0657333,2,3,3,2
2,3,12,2061.59,31363,0.0657333,3,5,3,2
6,8,13,251.298,3823,0.0657333,3,3.66667,3,3
4,5,14,219.352,3337,0.0657333,2,2,2,2
3,5,15,505.752,7694,0.0657333,1,2,2,1
11,8,16,2633.87,40069,0.0657333,1,1,1,1
6,11,17,296.26,4507,0.0657333,2,3,3,2
9,8,18,358.049,5447,0.0657333,5,6,5,3
11,3,19,1055.81,16062,0.0657333,2,4,4,2
6,10,20,127.917,1946,0.0657333,1,2,2,1
3,6,21,273.779,4165,0.0657333,1,1,1,1
5,8,22,1228.88,18695,0.0657333,2,2.5,2,2
0,5,23,51.8636,789,0.0657333,1,2,2,1
8,9,24,339.776,5169,0.0657333,4,5.75,5,2
1,8,25,577.336,8783,0.0657333,1,2,2,1
0,9,26,15.3159,233,0.0657333,3,5,4,2
9,3,27,337.08,5128,0.0657333,2,1.5,1,2
11,6,28,665.878,10130,0.0657333,2,3,3,2
1,11,29,2441.99,37150,0.0657333,1,1,1,1
6,7,30,182.936,2783,0.0657333,3,3,2,2
6,4,31,190.166,2893,0.0657333,1,1,1,1
8,7,32,2245.91,34167,0.0657333,2,5,4,1
8,2,33,8040.96,122327,0.0657333,1,1,1,1
10,4,34,509.696,7754,0.0657333,2,3,3,1
6,3,35,260.435,3962,0.0657333,1,1,1,1
5,6,36,318.215,4841,0.0657333,1,1,1,1
0,11,37,364.031,5538,0.0657333,1,2,2,1
2,10,38,334.057,5082,0.0657333,2,5.5,4,1
2,8,39,1569.84,23882,0.0657333,1,1,1,1
10,8,40,847.237,12889,0.0657333,3,5.66667,5,3
6,9,41,79.7345,1213,0.0657333,2,2.5,2,1
8,6,42,453.165,6894,0.0657333,3,3.66667,3,3
10,3,43,490.962,7469,0.0657333,1,1,1,1
9,2,44,457.57,6961,0.0657333,2,4.5,4,2
9,0,45,42.4637,646,0.0657333,3,5,4,2
10,2,46,1601.99,24371,0.0657333,1,4,4,1
5,11,47,877.014,13342,0.0657333,1,2,2,1
11,7,48,2900.09,44119,0.0657333,1,3,3,1
7,0,49,87.8854,1337,0.0657333,1,3,3,1
7,5,50,782.621,11906,0.0657333,2,3.5,3,2
5,3,51,708.014,10771,0.0657333,1,2,2,1
11,5,52,660.948,10055,0.0657333,1,2,2,1
9,4,53,189.509,2883,0.0657333,3,3,2,2
1,4,54,3685.47,56067,0.0657333,1,1,1,1
8,1,55,1182.61,17991,0.0657333,1,2,2,1
4,3,56,95.5762,1454,0.0657333,1,2,2,1
0,2,57,205.614,3128,0.0657333,2,3.5,3,2
1,7,58,4536.65,69016,0.0657333,3,3.66667,2,2
7,4,59,10621.3,161581,0.0657333,1,1,1,1
3,11,60,676.396,10290,0.0657333,2,4,4,2
2,1,61,2414.84,36737,0.0657333,2,2.5,2,2
5,0,62,130.941,1992,0.0657333,1,2,2,1
6,1,63,131.532,2001,0.0657333,2,2,2,2
4,11,64,992.244,15095,0.0657333,1,2,2,1
11,10,65,521.265,7930,0.0657333,1,5,5,1
11,1,66,1676.4,25503,0.0657333,1,1,1,1
1,2,67,403.734,6142,0.0657333,2,2.5,2,2
5,7,68,1470.19,22366,0.0657333,3,4,3,3
4,1,69,1714.92,26089,0.0657333,1,1,1,1
9,7,70,630.317,9589,0.0657333,1,1,1,1
8,0,71,70.729,1076,0.0657333,1,3,3,1
1,5,72,597.779,9094,0.0657333,1,1,1,1
3,2,73,921.055,14012,0.0657333,1,3,3,1
2,5,74,951.227,14471,0.0657333,2,2.5,1,1
11,4,75,1760.27,26779,0.0657333,1,2,2,1
10,9,76,1718.47,26143,0.0657333,1,1,1,1
8,10,77,570.96,8686,0.0657333,2,5.5,5,2
7,2,78,27934.6,424969,0.0657333,4,4.5,4,2
10,11,79,1063.43,16178,0.0657333,2,5,5,2
3,1,80,225.071,3424,0.0657333,2,3,3,2
9,11,81,260.435,3962,0.0657333,4,5.25,4,3
9,5,82,219.418,3338,0.0657333,4,4.25,3,2
3,7,83,502.991,7652,0.0657333,2,2.5,2,2
10,6,84,888.517,13517,0.0657333,1,2,2,1
11,9,85,408.007,6207,0.0657333,3,5,4,3
1,10,86,171.17,2604,0.0657333,2,4,4,1
1,0,87,141.064,2146,0.0657333,1,1,1,1
7,3,88,424.571,6459,0.0657333,2,2.5,2,2
2,6,89,2217.45,33734,0.0657333,1,2,2,1
2,4,90,21670.5,329673,0.0657333,3,3.33333,3,3
10,1,91,2717.35,41339,0.0657333,3,4,4,3
0,7,92,66.785,1016,0.0657333,4,5.25,3,1
11,0,93,130.283,1982,0.0657333,1,2,2,1
2,9,94,236.771,3602,0.0657333,5,6,4,1
10,0,95,61.2634,932,0.0657333,3,5,5,2
0,4,96,115.296,1754,0.0657333,2,3,2,2
