source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
5,10,0,235.3,3580,0.0657262,2,4,3,2
2,0,1,182.062,2770,0.0657262,2,3.5,3,2
4,10,2,114.692,1745,0.0657262,2,3,3,1
7,6,3,181.799,2766,0.0657262,3,3,2,3
7,8,4,786.677,11969,0.0657262,2,5,4,1
4,7,5,1080.34,16437,0.0657262,1,1,1,1
5,2,6,1786.9,27187,0.0657262,1,1,1,1
7,10,7,636.492,9684,0.0657262,1,2,2,1
7,9,8,1505.52,22906,0.0657262,1,1,1,1
3,0,9,107.922,1642,0.0657262,2,4,4,2
4,0,10,54.6842,832,0.0657262,1,2,2,1
0,6,11,41.4075,630,0.0657262,2,3,3,2
2,3,12,2061.37,31363,0.0657262,3,4.66667,3,3
6,8,13,251.271,3823,0.0657262,3,3.66667,3,3
4,5,14,219.328,3337,0.0657262,2,2,2,2
3,5,15,505.697,7694,0.0657262,1,2,2,1
11,8,16,2633.58,40069,0.0657262,1,1,1,1
6,11,17,296.228,4507,0.0657262,2,3,3,2
9,8,18,358.011,5447,0.0657262,4,5.75,5,4
11,3,19,1055.69,16062,0.0657262,2,4,4,2
6,10,20,127.903,1946,0.0657262,1,2,2,1
3,6,21,273.75,4165,0.0657262,1,1,1,1
5,8,22,1228.75,18695,0.0657262,2,2.5,2,2
0,5,23,51.858,789,0.0657262,1,2,2,1
8,9,24,339.739,5169,0.0657262,6,6,5,5
1,8,25,577.273,8783,0.0657262,1,2,2,1
0,9,26,15.3142,233,0.0657262,5,5.2,4,4
9,3,27,337.044,5128,0.0657262,2,1.5,1,2
11,6,28,665.806,10130,0.0657262,2,3,3,2
1,11,29,2441.73,37150,0.0657262,1,1,1,1
6,7,30,182.916,2783,0.0657262,3,3,2,3
6,4,31,190.146,2893,0.0657262,1,1,1,1
8,7,32,2245.67,34167,0.0657262,2,5.5,4,1
8,2,33,8040.09,122327,0.0657262,1,1,1,1
10,4,34,509.641,7754,0.0657262,2,3,3,1
6,3,35,260.407,3962,0.0657262,1,1,1,1
5,6,36,318.18,4841,0.0657262,2,2,1,1
0,11,37,363.992,5538,0.0657262,1,2,2,1
2,10,38,334.021,5082,0.0657262,3,6,4,1
2,8,39,1569.67,23882,0.0657262,1,1,1,1
10,8,40,847.145,12889,0.0657262,3,5.66667,5,3
6,9,41,79.7259,1213,0.0657262,2,2.5,2,2
8,6,42,453.116,6894,0.0657262,3,3.66667,3,3
