source,destination,link_id,used_rate,usage,link_capa
11,8,26,14453.6,0.36134,40000
11,1,6,34415.1,0.860378,40000
10,9,28,5907.71,0.147693,40000
10,3,16,9711.88,0.242797,40000
9,10,29,1237.9,0.0309475,40000
9,7,24,14980.1,0.374503,40000
9,3,14,16990.6,0.424764,40000
8,11,27,29259.4,0.731486,40000
8,2,10,17439.5,0.435988,40000
7,9,25,18085.8,0.452146,40000
7,4,20,33552,0.838801,40000
6,5,22,29955.5,0.748887,40000
6,4,18,22868.4,0.571709,40000
6,3,12,18744.9,0.468623,40000
5,6,23,38328.7,0.958217,40000
5,2,8,29851,0.746274,40000
5,1,4,12634.6,0.315866,40000
4,7,21,27531.1,0.688277,40000
4,6,19,7299.21,0.18248,40000
4,1,2,25167.1,0.629178,40000
3,10,17,3761.97,0.0940493,40000
3,9,15,12179.9,0.304497,40000
3,6,13,29054.9,0.726373,40000
2,8,11,21918.8,0.547969,40000
2,5,9,38754.5,0.968861,40000
1,11,7,21158.3,0.528956,40000
1,5,5,10485.3,0.262132,40000
1,4,3,40000,1,40000
1,0,0,1052.17,0.0263042,40000
0,1,1,1048.31,0.0262078,40000
