source,destination,link_id,used_rate_c,usage,capacity_c
11,8,26,14268.6,0.356715,40000
11,1,6,34080.7,0.860888,39587.9
10,9,28,6319.4,0.157985,40000
10,3,16,9360.72,0.234018,40000
9,10,29,1297.33,0.0324332,40000
9,7,24,15403.2,0.385081,40000
9,3,14,17567.7,0.439192,40000
8,11,27,28924.6,0.723116,40000
8,2,10,17179.7,0.429492,40000
7,9,25,18634.9,0.465873,40000
7,4,20,33330.7,0.833269,40000
6,5,22,30173.5,0.754338,40000
6,4,18,22878.3,0.571956,40000
6,3,12,18590.1,0.464753,40000
5,6,23,38334.7,0.958367,40000
5,2,8,30039.3,0.750984,40000
5,1,4,12932.3,0.326672,39587.9
4,7,21,27277.3,0.681933,40000
4,6,19,7140.46,0.178512,40000
4,1,2,24953.3,0.630327,39587.9
3,10,17,3762.26,0.0940565,40000
3,9,15,12279,0.306974,40000
3,6,13,29281,0.732026,40000
2,8,11,21762.7,0.544068,40000
2,5,9,38682.3,0.967058,40000
1,11,7,20973.8,0.529803,39587.9
1,5,5,10831.3,0.273601,39587.9
1,4,3,39587.9,1,39587.9
1,0,0,1052.25,0.0265801,39587.9
0,1,1,1048.39,0.0264827,39587.9
