source,destination,link_id,used_rate_c,usage,capacity_c
11,8,26,18366.4,0.459161,40000
11,1,6,34349.8,0.931964,36857.4
10,9,28,12503.9,0.314261,39788.3
10,3,16,14995.6,0.394954,37967.9
9,10,29,9675.09,0.243164,39788.3
9,7,24,23242.5,0.584154,39788.3
9,3,14,15313.5,0.403328,37967.9
8,11,27,29240.3,0.731006,40000
8,2,10,23133.8,0.578344,40000
7,9,25,24947.6,0.627009,39788.3
7,4,20,31535,0.820429,38437.2
6,5,22,28294.2,0.726678,38936.3
6,4,18,24865.6,0.646915,38437.2
6,3,12,22262.1,0.586339,37967.9
5,6,23,38936.3,1,38936.3
5,2,8,26769,0.687508,38936.3
5,1,4,27286.3,0.740319,36857.4
4,7,21,21157.4,0.550442,38437.2
4,6,19,7583.53,0.197297,38437.2
4,1,2,27703.1,0.751628,36857.4
3,10,17,7036.21,0.18532,37967.9
3,9,15,13789.1,0.363179,37967.9
3,6,13,32065.4,0.844539,37967.9
2,8,11,24479.3,0.611983,40000
2,5,9,36207.4,0.929913,38936.3
1,11,7,25049.5,0.679633,36857.4
1,5,5,26847.7,0.728419,36857.4
1,4,3,36857.4,1,36857.4
1,0,0,1068.86,0.0289999,36857.4
0,1,1,1062.88,0.0288376,36857.4
