source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
5,10,0,237.224,3580,0.0662638,2,4,3,2
2,0,1,183.551,2770,0.0662638,2,3.5,3,2
4,10,2,115.63,1745,0.0662638,2,3,3,2
7,6,3,183.286,2766,0.0662638,2,2.5,2,2
7,8,4,793.111,11969,0.0662638,5,6.8,4,2
4,7,5,1089.18,16437,0.0662638,1,1,1,1
5,2,6,1801.51,27187,0.0662638,2,2.5,1,1
7,10,7,641.698,9684,0.0662638,1,2,2,1
7,9,8,1517.84,22906,0.0662638,1,1,1,1
3,0,9,108.805,1642,0.0662638,4,4.75,4,4
4,0,10,55.1315,832,0.0662638,1,2,2,1
0,6,11,41.7462,630,0.0662638,2,3,3,2
2,3,12,2078.23,31363,0.0662638,3,4.66667,3,3
6,8,13,253.326,3823,0.0662638,3,3.66667,3,3
4,5,14,221.122,3337,0.0662638,2,2,2,2
3,5,15,509.834,7694,0.0662638,1,2,2,1
11,8,16,2655.12,40069,0.0662638,1,1,1,1
6,11,17,298.651,4507,0.0662638,2,3,3,2
9,8,18,360.939,5447,0.0662638,5,5.8,5,5
11,3,19,1064.33,16062,0.0662638,2,4,4,2
6,10,20,128.949,1946,0.0662638,1,2,2,1
3,6,21,275.989,4165,0.0662638,1,1,1,1
5,8,22,1238.8,18695,0.0662638,2,2.5,2,2
0,5,23,52.2821,789,0.0662638,1,2,2,1
8,9,24,342.517,5169,0.0662638,7,6.14286,5,7
1,8,25,581.995,8783,0.0662638,1,2,2,1
0,9,26,15.4395,233,0.0662638,3,4.66667,4,3
9,3,27,339.801,5128,0.0662638,2,1.5,1,2
11,6,28,671.252,10130,0.0662638,2,3,3,2
1,11,29,2461.7,37150,0.0662638,1,1,1,1
6,7,30,184.412,2783,0.0662638,3,3,2,3
6,4,31,191.701,2893,0.0662638,1,1,1,1
8,7,32,2264.03,34167,0.0662638,5,5.8,4,3
8,2,33,8105.85,122327,0.0662638,1,1,1,1
10,4,34,513.809,7754,0.0662638,2,3,3,2
6,3,35,262.537,3962,0.0662638,1,1,1,1
5,6,36,320.783,4841,0.0662638,2,2,1,2
0,11,37,366.969,5538,0.0662638,1,2,2,1
2,10,38,336.753,5082,0.0662638,3,5.66667,4,3
2,8,39,1582.51,23882,0.0662638,1,1,1,1
10,8,40,854.074,12889,0.0662638,4,5.75,5,4
6,9,41,80.378,1213,0.0662638,2,2.5,2,2
8,6,42,456.823,6894,0.0662638,4,4,3,4
10,3,43,494.924,7469,0.0662638,1,1,1,1
9,2,44,461.262,6961,0.0662638,4,5.75,4,3
9,0,45,42.8064,646,0.0662638,3,4.66667,4,3
10,2,46,1614.91,24371,0.0662638,3,6,4,2
5,11,47,884.091,13342,0.0662638,1,2,2,1
11,7,48,2923.49,44119,0.0662638,2,4.5,3,2
7,0,49,88.5947,1337,0.0662638,2,4.5,3,1
7,5,50,788.937,11906,0.0662638,3,3.33333,3,3
5,3,51,713.727,10771,0.0662638,1,2,2,1
11,5,52,666.282,10055,0.0662638,1,2,2,1
9,4,53,191.038,2883,0.0662638,3,3,2,3
1,4,54,3715.21,56067,0.0662638,2,2,1,2
8,1,55,1192.15,17991,0.0662638,2,2.5,2,2
4,3,56,96.3475,1454,0.0662638,1,2,2,1
0,2,57,207.273,3128,0.0662638,2,3.5,3,2
1,7,58,4573.26,69016,0.0662638,4,4.25,2,4
7,4,59,10707,161581,0.0662638,2,2.5,1,1
3,11,60,681.854,10290,0.0662638,2,4,4,2
2,1,61,2434.33,36737,0.0662638,2,2.5,2,2
5,0,62,131.997,1992,0.0662638,1,2,2,1
6,1,63,132.594,2001,0.0662638,2,2,2,2
4,11,64,1000.25,15095,0.0662638,1,2,2,1
11,10,65,525.472,7930,0.0662638,2,5,5,2
11,1,66,1689.93,25503,0.0662638,1,1,1,1
1,2,67,406.992,6142,0.0662638,2,2.5,2,2
5,7,68,1482.06,22366,0.0662638,4,3.75,3,4
4,1,69,1728.76,26089,0.0662638,1,1,1,1
9,7,70,635.403,9589,0.0662638,1,1,1,1
8,0,71,71.2998,1076,0.0662638,2,3.5,3,2
1,5,72,602.603,9094,0.0662638,1,1,1,1
3,2,73,928.488,14012,0.0662638,2,4.5,3,1
2,5,74,958.903,14471,0.0662638,2,2.5,1,1
11,4,75,1774.48,26779,0.0662638,2,3,2,2
10,9,76,1732.33,26143,0.0662638,1,1,1,1
8,10,77,575.567,8686,0.0662638,2,5.5,5,2
7,2,78,28160.1,424969,0.0662638,6,5.5,4,5
10,11,79,1072.02,16178,0.0662638,3,5,5,3
3,1,80,226.887,3424,0.0662638,4,3.75,3,4
9,11,81,262.537,3962,0.0662638,5,5.2,4,4
9,5,82,221.189,3338,0.0662638,4,3.75,3,4
3,7,83,507.05,7652,0.0662638,2,2.5,2,2
10,6,84,895.688,13517,0.0662638,2,3,2,2
11,9,85,411.299,6207,0.0662638,5,5.2,4,5
1,10,86,172.551,2604,0.0662638,2,4,4,2
1,0,87,142.202,2146,0.0662638,1,1,1,1
7,3,88,427.998,6459,0.0662638,2,2.5,2,2
2,6,89,2235.34,33734,0.0662638,2,3.5,2,1
2,4,90,21845.4,329673,0.0662638,3,3.33333,3,3
10,1,91,2739.28,41339,0.0662638,3,4,4,3
0,7,92,67.324,1016,0.0662638,3,4.66667,3,3
11,0,93,131.335,1982,0.0662638,1,2,2,1
2,9,94,238.682,3602,0.0662638,4,6.5,4,4
10,0,95,61.7578,932,0.0662638,3,5,5,3
0,4,96,116.227,1754,0.0662638,2,3,2,2
5,1,97,531.17,8016,0.0662638,1,1,1,1
1,9,98,144.057,2174,0.0662638,4,4,3,4
0,10,99,16.4997,249,0.0662638,3,5,5,3
3,4,100,506.852,7649,0.0662638,3,3,2,3
6,5,101,251.802,3800,0.0662638,1,1,1,1
0,1,102,75.5407,1140,0.0662638,1,1,1,1
2,11,103,1450.91,21896,0.0662638,1,2,2,1
9,6,104,132.925,2006,0.0662638,3,2.66667,2,3
3,9,105,1461.12,22050,0.0662638,2,1.5,1,2
4,9,106,41.7462,630,0.0662638,2,2.5,2,2
4,8,107,453.244,6840,0.0662638,1,3,3,1
4,2,108,855.664,12913,0.0662638,3,3.33333,3,3
5,4,109,974.21,14702,0.0662638,2,2,2,2
4,6,110,134.25,2026,0.0662638,1,1,1,1
7,1,111,2947.68,44484,0.0662638,5,4.8,2,4
7,11,112,4717.78,71197,0.0662638,5,5.8,3,4
3,10,113,428.727,6470,0.0662638,1,1,1,1
10,7,114,2416.51,36468,0.0662638,1,2,2,1
1,3,115,222.646,3360,0.0662638,2,3,3,2
1,6,116,160.955,2429,0.0662638,2,2,2,2
10,5,117,1958.43,29555,0.0662638,3,4.33333,3,1
8,11,118,3179.34,47980,0.0662638,1,1,1,1
9,1,119,63.2819,955,0.0662638,4,4,3,3
8,4,120,2186.57,32998,0.0662638,3,4,3,3
0,8,121,76.1371,1149,0.0662638,1,3,3,1
11,2,122,2292.53,34597,0.0662638,1,2,2,1
6,2,123,517.851,7815,0.0662638,2,3.5,2,2
5,9,124,138.756,2094,0.0662638,3,4,3,3
0,3,125,27.4995,415,0.0662638,2,4,4,2
2,7,126,22964.4,385991,0.0594947,8,6,4,8
8,5,127,581.332,8773,0.0662638,2,2.5,2,2
3,8,128,409.311,6177,0.0662638,5,5.4,4,5
6,0,129,49.3665,745,0.0662638,2,3,3,2
9,10,130,406.793,6139,0.0662638,1,1,1,1
8,3,131,0,11677,0,4,5,4,4
