source,destination,link_id,used_rate,usage,link_capa
11,8,26,14927,0.373176,40000
11,1,6,34455.3,0.861383,40000
10,9,28,10624.4,0.265609,40000
10,3,16,12897.1,0.322428,40000
9,10,29,4187.26,0.104681,40000
9,7,24,20170.6,0.504265,40000
9,3,14,15375.6,0.38439,40000
8,11,27,29250.4,0.731259,40000
8,2,10,18668.7,0.466718,40000
7,9,25,19507.4,0.487685,40000
7,4,20,32557.3,0.813933,40000
6,5,22,29345.1,0.733627,40000
6,4,18,19791.3,0.494782,40000
6,3,12,24037.7,0.600944,40000
5,6,23,40000,1,40000
5,2,8,29800.7,0.745018,40000
5,1,4,14025.5,0.350637,40000
4,7,21,22680.3,0.567007,40000
4,6,19,5670.21,0.141755,40000
4,1,2,26304,0.657601,40000
3,10,17,8613.04,0.215326,40000
3,9,15,12594.8,0.314871,40000
3,6,13,30647.7,0.766192,40000
2,8,11,22566.8,0.56417,40000
2,5,9,39413.2,0.985329,40000
1,11,7,21695.7,0.542393,40000
1,5,5,13433.4,0.335836,40000
1,4,3,39076.8,0.976921,40000
1,0,0,1062.22,0.0265555,40000
0,1,1,1058.33,0.0264582,40000
