source,destination,link_id,used_rate_c,usage,capacity_c
10,8,76,0.989697,1,0.989697
10,5,74,0.785714,0.793894,0.989697
10,2,64,0.5,0.52217,0.957542
10,3,50,0.714286,0.728538,0.980437
10,7,48,0.714286,0.728538,0.980437
10,6,46,0.857143,0.874245,0.980437
10,1,45,0.642857,0.649549,0.989697
10,0,43,0.214286,0.220443,0.97207
9,5,69,0.357143,0.357143,1
9,2,61,0,0,0.957542
9,1,59,0.142857,0.142857,1
9,0,57,0,0,0.97207
9,6,55,0,0,0.980437
9,3,41,0.142857,0.145708,0.980437
9,7,39,0.214286,0.218561,0.980437
9,8,36,0.571429,0.571429,1
8,10,77,0,0,0.989697
8,6,71,0.285714,0.291415,0.980437
8,9,37,0.5,0.5,1
8,4,35,0.428571,0.428571,1
8,2,29,0,0,0.957542
8,3,21,0.214286,0.218561,0.980437
8,0,7,0,0,0.97207
7,0,73,0,0,0.97207
7,10,49,0,0,0.980437
7,9,38,0.785714,0.801392,0.980437
7,4,33,0.357143,0.364269,0.980437
7,2,27,0.0714286,0.0745957,0.957542
7,5,23,0.5,0.509977,0.980437
7,3,19,0.214286,0.218561,0.980437
7,1,17,0.214286,0.218561,0.980437
7,6,1,0.714286,0.728538,0.980437
6,4,81,0.571429,0.58283,0.980437
6,8,70,0.857143,0.874245,0.980437
6,9,54,0.714286,0.728538,0.980437
6,3,52,0.571429,0.58283,0.980437
6,10,47,0.214286,0.218561,0.980437
6,0,5,0,0,0.97207
6,7,0,0.642857,0.655684,0.980437
5,3,83,0,0,0.980437
5,10,75,0,0,0.989697
5,9,68,0.714286,0.714286,1
5,4,31,0.0714286,0.0714286,1
5,2,25,0,0,0.957542
5,7,22,0,0,0.980437
5,1,15,0,0,1
4,6,80,0.714286,0.728538,0.980437
4,3,79,0.428571,0.437123,0.980437
4,2,67,0,0,0.957542
4,8,34,0.785714,0.785714,1
4,7,32,0.357143,0.364269,0.980437
4,5,30,0.714286,0.714286,1
4,1,13,0.142857,0.142857,1
3,5,82,0.428571,0.437123,0.980437
3,4,78,0.428571,0.437123,0.980437
3,6,53,0.571429,0.58283,0.980437
3,10,51,0,0,0.980437
3,9,40,0.785714,0.801392,0.980437
3,8,20,0.785714,0.801392,0.980437
3,7,18,0.428571,0.437123,0.980437
3,1,11,0.142857,0.145708,0.980437
2,4,66,0.785714,0.820553,0.957542
2,10,65,0.357143,0.372979,0.957542
2,9,60,0.928571,0.969744,0.957542
2,8,28,0.857143,0.895149,0.957542
2,7,26,0.785714,0.820553,0.957542
2,5,24,0.785714,0.820553,0.957542
2,1,9,0.642857,0.671362,0.957542
2,0,3,0,0,0.97207
1,0,63,0,0,0.97207
1,9,58,0.857143,0.857143,1
1,10,44,0.142857,0.144344,0.989697
1,7,16,0.428571,0.437123,0.980437
1,5,14,0.642857,0.642857,1
1,4,12,0.5,0.5,1
1,3,10,0.428571,0.437123,0.980437
1,2,8,0.285714,0.298383,0.957542
0,7,72,0.97207,1,0.97207
0,1,62,0.928571,0.955252,0.97207
0,9,56,0.857143,0.881771,0.97207
0,10,42,0.857143,0.881771,0.97207
0,8,6,0.857143,0.881771,0.97207
0,6,4,0.857143,0.881771,0.97207
0,2,2,0.857143,0.881771,0.97207
