source,destination,link_id,used_rate_c,usage,capacity_c
10,8,76,0.964472,1,0.964472
10,5,74,0.807692,0.843505,0.957542
10,2,64,0.618395,0.66775,0.926087
10,3,50,0.769231,0.818346,0.939982
10,7,48,0.769231,0.85918,0.895308
10,6,46,0.91833,1,0.91833
10,1,45,0.769231,0.797566,0.964472
10,0,43,0.0978015,0.108009,0.905494
9,5,69,0.461538,0.482003,0.957542
9,2,61,0,0,0.926087
9,1,59,0.0769231,0.0797566,0.964472
9,0,57,0,0,0.905494
9,6,55,0,0,0.91833
9,3,41,0.0769231,0.0818346,0.939982
9,7,39,0.367032,0.409951,0.895308
9,8,36,0.692308,0.71781,0.964472
8,10,77,0.0384615,0.0398783,0.964472
8,6,71,0.307692,0.335056,0.91833
8,9,37,0.615385,0.638053,0.964472
8,4,35,0.346154,0.361502,0.957542
8,2,29,0,0,0.926087
8,3,21,0.230769,0.245504,0.939982
8,0,7,0,0,0.905494
7,0,73,0,0,0.905494
7,10,49,0,0,0.895308
7,9,38,0.884615,0.988057,0.895308
7,4,33,0.5,0.52217,0.957542
7,2,27,0.0384615,0.0415312,0.926087
7,5,23,0.653846,0.682838,0.957542
7,3,19,0.423077,0.45009,0.939982
7,1,17,0.192308,0.199392,0.964472
7,6,1,0.730769,0.795759,0.91833
6,4,81,0.692308,0.723005,0.957542
6,8,70,0.846154,0.921405,0.91833
6,9,54,0.807692,0.879523,0.91833
6,3,52,0.692308,0.736511,0.939982
6,10,47,0.153846,0.167528,0.91833
6,0,5,0,0,0.905494
6,7,0,0.769231,0.837641,0.91833
5,3,83,0.0384615,0.0409173,0.939982
5,10,75,0,0,0.957542
5,9,68,0.807692,0.843505,0.957542
5,4,31,0.0384615,0.0401669,0.957542
5,2,25,0,0,0.926087
5,7,22,0.0384615,0.0401669,0.957542
5,1,15,0,0,0.964472
4,6,80,0.769231,0.803339,0.957542
4,3,79,0.423077,0.45009,0.939982
4,2,67,0,0,0.926087
4,8,34,0.846154,0.883672,0.957542
4,7,32,0.538462,0.562337,0.957542
4,5,30,0.615385,0.642671,0.957542
4,1,13,0.269231,0.279148,0.964472
3,5,82,0.615385,0.654677,0.939982
3,4,78,0.5,0.531925,0.939982
3,6,53,0.730769,0.777429,0.939982
3,10,51,0,0,0.939982
3,9,40,0.846154,0.900181,0.939982
3,8,20,0.846154,0.900181,0.939982
3,7,18,0.461538,0.491008,0.939982
3,1,11,0.0769231,0.0797566,0.964472
2,4,66,0.807692,0.872156,0.926087
2,10,65,0.554593,0.598856,0.926087
2,9,60,0.926087,1,0.926087
2,8,28,0.926087,1,0.926087
2,7,26,0.807692,0.872156,0.926087
2,5,24,0.807692,0.872156,0.926087
2,1,9,0.769231,0.797566,0.964472
2,0,3,0,0,0.905494
1,0,63,0,0,0.905494
1,9,58,0.884615,0.917201,0.964472
1,10,44,0,0,0.964472
1,7,16,0.482417,0.500187,0.964472
1,5,14,0.653846,0.677931,0.964472
1,4,12,0.576923,0.598175,0.964472
1,3,10,0.5,0.518418,0.964472
1,2,8,0.423077,0.438662,0.964472
0,7,72,0.905494,1,0.905494
0,1,62,0.905494,1,0.905494
0,9,56,0.905494,1,0.905494
0,10,42,0.905494,1,0.905494
0,8,6,0.905494,1,0.905494
0,6,4,0.905494,1,0.905494
0,2,2,0.905494,1,0.905494
