source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,0.888889,2,0.444444,4,2,1
0,4,1,1.33333,3,0.444444,4,2,2
0,5,2,1.33333,3,0.444444,10,2.6,2
0,7,3,1.6939,4,0.423475,6,2,1
1,2,4,0.444444,1,0.444444,2,1.5,1
4,5,5,0.888889,2,0.444444,2,1.5,1
4,6,6,0.888889,2,0.444444,2,1.5,1
3,4,7,0.444444,1,0.444444,1,1,1
3,9,8,0.444444,1,0.444444,3,2,1
0,10,9,0.444444,1,0.444444,3,1.66667,1
10,5,10,1.33333,3,0.444444,5,1.8,1
10,6,11,0.888889,2,0.444444,2,1.5,1
0,6,12,0.444444,1,0.444444,2,1.5,1
6,8,13,1.77778,4,0.444444,4,1.75,1
2,9,14,2.16667,5,0.433333,6,1.83333,1
1,9,15,0.888889,2,0.444444,2,1.5,1
3,8,16,0.444444,1,0.444444,2,2,1
7,9,17,1.33333,3,0.444444,4,1.75,1
2,3,18,0.444444,1,0.444444,4,2,2
2,6,19,1.33333,3,0.444444,7,2.42857,2
10,8,20,2.17032,5,0.434065,7,2.28571,1
6,7,21,1.33333,3,0.444444,4,1.75,1
