source,destination,length,path
0,1,1,0,1,0.383
0,1,2,0,9,1,0.101
0,1,2,0,2,1,0.214
0,1,3,0,8,3,1,0.108
0,4,2,0,7,4,0.492
0,4,2,0,2,4,0.312
0,4,2,0,8,4,0.299
0,4,2,0,6,4,0.105
0,5,2,0,9,5,0.346
0,5,2,0,10,5,0.005
0,5,2,0,2,5,0.103
0,5,3,0,9,3,5,0.002
0,5,3,0,8,3,5,0.15
0,5,3,0,2,1,5,0.105
0,5,2,0,7,5,0.0
0,5,3,0,10,2,5,0.004
0,5,3,0,10,1,5,0.105
0,5,3,0,6,3,5,0.156
0,7,1,0,7,0.296
0,7,2,0,6,7,0.108
0,7,2,0,10,7,0.324
0,7,2,0,1,7,0.46
0,7,2,0,9,7,0.259
0,7,3,0,6,4,7,0.108
1,2,1,1,2,0.379
1,2,2,1,10,2,0.0
4,5,1,4,5,0.646
4,5,2,4,1,5,0.216
4,6,1,4,6,0.536
4,6,2,4,3,6,0.322
3,4,1,3,4,0.432
3,9,1,3,9,0.324
3,9,2,3,1,9,0.001
3,9,3,3,4,8,9,0.002
0,10,1,0,10,0.27
0,10,2,0,6,10,0.004
0,10,2,0,2,10,0.109
10,5,1,10,5,0.762
10,5,2,10,2,5,0.161
10,5,2,10,1,5,0.162
10,5,2,10,3,5,0.108
10,5,2,10,7,5,0.108
10,6,1,10,6,0.742
10,6,2,10,3,6,0.108
0,6,1,0,6,0.297
0,6,2,0,8,6,0.004
6,8,1,6,8,0.84
6,8,2,6,9,8,0.647
6,8,2,6,3,8,0.108
6,8,2,6,4,8,0.108
2,9,1,2,9,0.86
2,9,2,2,1,9,0.163
2,9,2,2,8,9,0.465
2,9,2,2,0,9,0.0
2,9,2,2,5,9,0.368
2,9,2,2,7,9,0.16
1,9,1,1,9,0.649
1,9,2,1,3,9,0.217
3,8,1,3,8,0.323
3,8,3,3,1,4,8,0.108
7,9,1,7,9,0.647
7,9,2,7,5,9,0.324
7,9,2,7,6,9,0.108
7,9,2,7,3,9,0.216
2,3,2,2,10,3,0.108
2,3,2,2,1,3,0.162
2,3,2,2,7,3,0.001
2,3,2,2,4,3,0.106
2,6,2,2,8,6,0.266
2,6,2,2,7,6,0.427
2,6,3,2,10,3,6,0.108
2,6,2,2,4,6,0.16
2,6,3,2,7,3,6,0.107
2,6,3,2,10,7,6,0.107
2,6,2,2,10,6,0.107
10,8,1,10,8,0.864
10,8,2,10,0,8,0.201
10,8,3,10,1,4,8,0.431
10,8,2,10,3,8,0.272
10,8,3,10,2,4,8,0.002
10,8,2,10,2,8,0.103
10,8,3,10,7,3,8,0.108
6,7,1,6,7,0.599
6,7,2,6,4,7,0.27
6,7,2,6,10,7,0.108
6,7,2,6,3,7,0.324
