source,destination,link_id,used_rate,usage,link_capa
10,8,76,0.956897,0.956897,1
10,5,74,0.87931,0.87931,1
10,2,64,0.767241,0.767241,1
10,3,50,0.87069,0.87069,1
10,7,48,0.87931,0.87931,1
10,6,46,0.909483,0.909483,1
10,1,45,0.875,0.875,1
10,0,43,0.0344828,0.0344828,1
9,5,69,0.521552,0.521552,1
9,2,61,0,0,1
9,1,59,0.0258621,0.0258621,1
9,0,57,0,0,1
9,6,55,0.0991379,0.0991379,1
9,3,41,0.012931,0.012931,1
9,7,39,0.418103,0.418103,1
9,8,36,0.853448,0.853448,1
8,10,77,0,0,1
8,6,71,0.12069,0.12069,1
8,9,37,0.724138,0.724138,1
8,4,35,0.431034,0.431034,1
8,2,29,0,0,1
8,3,21,0.353448,0.353448,1
8,0,7,0,0,1
7,0,73,0,0,1
7,10,49,0,0,1
7,9,38,0.939655,0.939655,1
7,4,33,0.633621,0.633621,1
7,2,27,0.00862069,0.00862069,1
7,5,23,0.737069,0.737069,1
7,3,19,0.655172,0.655172,1
7,1,17,0.469828,0.469828,1
7,6,1,0.862069,0.862069,1
6,4,81,0.771552,0.771552,1
6,8,70,0.939655,0.939655,1
6,9,54,0.935345,0.935345,1
6,3,52,0.771552,0.771552,1
6,10,47,0.012931,0.012931,1
6,0,5,0,0,1
6,7,0,0.788793,0.788793,1
5,3,83,0.112069,0.112069,1
5,10,75,0,0,1
5,9,68,0.931034,0.931034,1
5,4,31,0.168103,0.168103,1
5,2,25,0,0,1
5,7,22,0.116379,0.116379,1
5,1,15,0.00862069,0.00862069,1
4,6,80,0.866379,0.866379,1
4,3,79,0.693966,0.693966,1
4,2,67,0,0,1
4,8,34,0.926724,0.926724,1
4,7,32,0.728448,0.728448,1
4,5,30,0.75431,0.75431,1
4,1,13,0.288793,0.288793,1
3,5,82,0.737069,0.737069,1
3,4,78,0.668103,0.668103,1
3,6,53,0.866379,0.866379,1
3,10,51,0,0,1
3,9,40,0.926724,0.926724,1
3,8,20,0.918103,0.918103,1
3,7,18,0.732759,0.732759,1
3,1,11,0.318966,0.318966,1
2,4,66,0.866379,0.866379,1
2,10,65,0.75,0.75,1
2,9,60,0.952586,0.952586,1
2,8,28,0.952586,0.952586,1
2,7,26,0.87069,0.87069,1
2,5,24,0.87931,0.87931,1
2,1,9,0.87069,0.87069,1
2,0,3,0.0215517,0.0215517,1
1,0,63,0,0,1
1,9,58,0.931034,0.931034,1
1,10,44,0.00431034,0.00431034,1
1,7,16,0.737069,0.737069,1
1,5,14,0.758621,0.758621,1
1,4,12,0.719828,0.719828,1
1,3,10,0.715517,0.715517,1
1,2,8,0.478448,0.478448,1
0,7,72,1,1,1
0,1,62,0.99569,0.99569,1
0,9,56,0.99569,0.99569,1
0,10,42,0.982759,0.982759,1
0,8,6,0.99569,0.99569,1
0,6,4,0.987069,0.987069,1
0,2,2,0.978448,0.978448,1
