source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
0,1,0,0.947368,2,0.473684,5,2.2,1,4
0,4,1,1.42105,3,0.473684,9,2.44444,2,8
0,5,2,1.42105,3,0.473684,9,2.44444,2,7
0,7,3,1.71775,4,0.429437,8,2.125,1,7
1,2,4,0.473684,1,0.473684,3,1.66667,1,2
4,5,5,0.947368,2,0.473684,3,1.66667,1,3
4,6,6,0.947368,2,0.473684,3,1.66667,1,2
3,4,7,0.473684,1,0.473684,2,1.5,1,2
3,9,8,0.473684,1,0.473684,7,2.28571,1,4
0,10,9,0.366871,1,0.366871,4,1.75,1,3
10,5,10,1.42105,3,0.473684,7,2.14286,1,5
10,6,11,0.947368,2,0.473684,4,2,1,2
0,6,12,0.401958,1,0.401958,3,1.66667,1,3
6,8,13,1.89087,4,0.472718,4,1.75,1,4
2,9,14,2.3045,5,0.460899,12,2.5,1,9
1,9,15,0.947368,2,0.473684,5,2.2,1,4
3,8,16,0.473684,1,0.473684,4,2.25,1,4
7,9,17,1.39854,3,0.466179,7,2.14286,1,5
2,3,18,0.473684,1,0.473684,8,2.375,2,7
2,6,19,1.38596,3,0.461988,13,2.69231,2,8
10,8,20,2.20349,5,0.440698,11,2.54545,1,8
6,7,21,1.42105,3,0.473684,5,2,1,3
