source,destination,length,path
0,1,1,0,1,0.666667
0,1,2,0,9,1,0.0666667
0,1,2,0,10,1,0.0666667
0,1,3,0,8,3,1,0.133333
0,1,2,0,7,1,0.0666667
0,4,2,0,7,4,0.2
0,4,2,0,8,4,0.333333
0,4,2,0,2,4,0.2
0,4,2,0,6,4,0.0666667
0,4,3,0,2,1,4,0.0666667
0,4,3,0,9,1,4,0.0666667
0,4,2,0,1,4,0.0666667
0,5,2,0,9,5,0.4
0,5,2,0,2,5,0.333333
0,5,3,0,8,3,5,0.133333
0,5,2,0,10,5,0.0666667
0,5,2,0,7,5,0.0666667
0,7,1,0,7,0.4
0,7,2,0,10,7,0.2
0,7,2,0,9,7,0.133333
0,7,3,0,6,3,7,0.0666667
0,7,3,0,2,10,7,0.0666667
0,7,3,0,10,1,7,0.0666667
0,7,3,0,6,4,7,0.0666667
1,2,1,1,2,0.333333
1,2,2,1,10,2,0.0666667
1,2,2,1,7,2,0.1
4,5,1,4,5,0.533333
4,5,2,4,1,5,0.2
4,5,2,4,7,5,0.133333
4,5,2,4,2,5,0.0666667
4,5,2,4,3,5,0.0666667
4,6,1,4,6,0.4
4,6,2,4,3,6,0.266667
4,6,2,4,7,6,0.133333
4,6,2,4,8,6,0.2
3,4,1,3,4,0.366667
3,4,2,3,1,4,0.1
3,4,2,3,5,4,0.0333333
3,9,1,3,9,0.433333
3,9,2,3,5,9,0.0333333
3,9,2,3,8,9,0.0333333
0,10,1,0,10,0.333333
0,10,2,0,8,10,0.0666667
0,10,2,0,6,10,0.0333333
0,10,2,0,7,10,0.0333333
0,10,2,0,2,10,0.0333333
10,5,1,10,5,0.533333
10,5,2,10,3,5,0.2
10,5,2,10,1,5,0.2
10,5,2,10,2,5,0.0666667
10,6,1,10,6,0.666667
10,6,2,10,7,6,0.0666667
10,6,2,10,3,6,0.133333
10,6,3,10,1,9,6,0.0666667
10,6,3,10,8,9,6,0.0666667
0,6,1,0,6,0.4
0,6,2,0,9,6,0.1
6,8,1,6,8,0.533333
6,8,2,6,9,8,0.333333
6,8,2,6,4,8,0.133333
2,9,1,2,9,0.666667
2,9,2,2,8,9,0.133333
2,9,3,2,4,8,9,0.0666667
2,9,2,2,5,9,0.0666667
2,9,3,2,1,7,9,0.0666667
1,9,1,1,9,0.6
1,9,2,1,5,9,0.133333
1,9,3,1,4,8,9,0.0666667
1,9,3,1,7,5,9,0.0666667
1,9,2,1,7,9,0.0666667
1,9,3,1,3,8,9,0.0666667
3,8,1,3,8,0.466667
3,8,3,3,7,4,8,0.0333333
7,9,1,7,9,0.533333
7,9,2,7,5,9,0.266667
7,9,2,7,3,9,0.133333
7,9,2,7,6,9,0.0666667
2,3,2,2,8,3,0.0333333
2,3,2,2,1,3,0.266667
2,3,2,2,10,3,0.133333
2,3,2,2,4,3,0.0333333
2,3,2,2,7,3,0.0333333
2,6,2,2,7,6,0.333333
2,6,2,2,8,6,0.2
2,6,2,2,0,6,0.0666667
2,6,3,2,7,3,6,0.133333
2,6,2,2,4,6,0.2
2,6,3,2,1,3,6,0.0666667
10,8,1,10,8,0.6
10,8,2,10,0,8,0.0666667
10,8,3,10,7,4,8,0.0666667
10,8,2,10,2,8,0.266667
6,7,1,6,7,0.466667
6,7,2,6,3,7,0.333333
6,7,2,6,9,7,0.0666667
6,7,2,6,10,7,0.0666667
6,7,2,6,4,7,0.0666667
