source,destination,length,path
0,1,1,0,1,0.485
0,1,2,0,9,1,0.139
0,1,2,0,2,1,0.139
0,1,3,0,8,3,1,0.139
0,1,3,0,8,4,1,0.004
0,4,2,0,7,4,0.208
0,4,2,0,8,4,0.278
0,4,2,0,2,4,0.208
0,4,3,0,10,1,4,0.002
0,4,2,0,6,4,0.139
0,4,2,0,1,4,0.004
0,5,2,0,9,5,0.347
0,5,2,0,2,5,0.209
0,5,2,0,1,5,0.005
0,5,3,0,8,3,5,0.004
0,5,3,0,7,3,5,0.003
0,5,4,0,2,10,1,5,0.002
0,5,2,0,7,5,0.002
0,5,3,0,6,3,5,0.004
0,7,1,0,7,0.417
0,7,2,0,10,7,0.348
0,7,2,0,9,7,0.14
0,7,2,0,1,7,0.002
1,2,1,1,2,0.313
1,2,2,1,10,2,0.006
1,2,2,1,7,2,0.104
4,5,1,4,5,0.487
4,5,2,4,1,5,0.005
4,5,2,4,7,5,0.139
4,5,2,4,3,5,0.138
4,5,2,4,2,5,0.139
4,6,1,4,6,0.484
4,6,2,4,3,6,0.138
4,6,2,4,8,6,0.276
4,6,2,4,7,6,0.005
3,4,1,3,4,0.347
3,4,2,3,1,4,0.104
3,4,2,3,7,4,0.008
3,9,1,3,9,0.347
3,9,2,3,6,9,0.008
3,9,2,3,5,9,0.006
3,9,2,3,8,9,0.007
3,9,2,3,1,9,0.007
0,10,1,0,10,0.277
0,10,2,0,6,10,0.0
0,10,2,0,8,10,0.007
0,10,2,0,2,10,0.005
10,5,1,10,5,0.624
10,5,2,10,3,5,0.005
10,5,2,10,2,5,0.005
10,5,2,10,1,5,0.14
10,5,2,10,7,5,0.006
10,6,1,10,6,0.625
10,6,2,10,3,6,0.278
10,6,3,10,1,3,6,0.004
0,6,1,0,6,0.347
0,6,2,0,9,6,0.104
0,6,2,0,8,6,0.007
6,8,1,6,8,0.556
6,8,2,6,9,8,0.347
6,8,2,6,4,8,0.005
2,9,1,2,9,0.619
2,9,2,2,8,9,0.209
2,9,2,2,5,9,0.004
2,9,3,2,10,8,9,0.005
1,9,1,1,9,0.555
1,9,2,1,5,9,0.139
1,9,3,1,7,5,9,0.005
1,9,3,1,10,8,9,0.0
1,9,2,1,3,9,0.009
1,9,2,1,7,9,0.009
3,8,1,3,8,0.487
7,9,1,7,9,0.556
7,9,2,7,5,9,0.138
7,9,2,7,3,9,0.138
7,9,3,7,3,5,9,0.0
7,9,2,7,1,9,0.001
2,3,2,2,8,3,0.006
2,3,2,2,1,3,0.139
2,3,2,2,4,3,0.104
2,3,2,2,5,3,0.007
2,3,2,2,10,3,0.139
2,3,2,2,7,3,0.008
2,6,2,2,7,6,0.487
2,6,2,2,8,6,0.007
2,6,2,2,0,6,0.001
2,6,3,2,4,8,6,0.005
2,6,3,2,8,9,6,0.006
2,6,3,2,1,3,6,0.008
2,6,3,2,1,7,6,0.005
2,6,2,2,4,6,0.006
10,8,1,10,8,0.485
10,8,2,10,0,8,0.004
10,8,3,10,7,4,8,0.005
10,8,3,10,1,4,8,0.005
10,8,2,10,2,8,0.278
6,7,1,6,7,0.486
6,7,2,6,3,7,0.279
6,7,2,6,9,7,0.0
6,7,2,6,4,7,0.139
