source,destination,link_id,used_rate_c,usage,capacity_c
10,8,76,0.989697,1,0.989697
10,5,74,0.8125,0.820958,0.989697
10,2,64,0.4375,0.442055,0.989697
10,3,50,0.6875,0.694657,0.989697
10,7,48,0.75,0.757808,0.989697
10,6,46,0.875,0.884109,0.989697
10,1,45,0.625,0.631506,0.989697
10,0,43,0.25,0.264449,0.945363
9,5,69,0.4375,0.4375,1
9,2,61,0,0,1
9,1,59,0.25,0.25,1
9,0,57,0,0,0.945363
9,6,55,0,0,1
9,3,41,0.125,0.125,1
9,7,39,0.25,0.252603,0.989697
9,8,36,0.625,0.625,1
8,10,77,0.0625,0.0631506,0.989697
8,6,71,0.3125,0.3125,1
8,9,37,0.5625,0.5625,1
8,4,35,0.4375,0.4375,1
8,2,29,0,0,1
8,3,21,0.125,0.125,1
8,0,7,0,0,0.945363
7,0,73,0,0,0.945363
7,10,49,0,0,0.989697
7,9,38,0.9375,0.94726,0.989697
7,4,33,0.3125,0.315753,0.989697
7,2,27,0,0,0.989697
7,5,23,0.4375,0.442055,0.989697
7,3,19,0.4375,0.442055,0.989697
7,1,17,0.0625,0.0631506,0.989697
7,6,1,0.6875,0.694657,0.989697
6,4,81,0.5625,0.5625,1
6,8,70,0.875,0.875,1
6,9,54,0.75,0.75,1
6,3,52,0.5625,0.5625,1
6,10,47,0.125,0.126301,0.989697
6,0,5,0,0,0.945363
6,7,0,0.6875,0.694657,0.989697
5,3,83,0,0,1
5,10,75,0,0,0.989697
5,9,68,0.75,0.75,1
5,4,31,0,0,1
5,2,25,0,0,1
5,7,22,0,0,0.989697
5,1,15,0,0,1
4,6,80,0.625,0.625,1
4,3,79,0.4375,0.4375,1
4,2,67,0,0,1
4,8,34,0.75,0.75,1
4,7,32,0.375,0.378904,0.989697
4,5,30,0.625,0.625,1
4,1,13,0.125,0.125,1
3,5,82,0.5625,0.5625,1
3,4,78,0.4375,0.4375,1
3,6,53,0.625,0.625,1
3,10,51,0,0,0.989697
3,9,40,0.8125,0.8125,1
3,8,20,0.8125,0.8125,1
3,7,18,0.4375,0.442055,0.989697
3,1,11,0.125,0.125,1
2,4,66,0.6875,0.6875,1
2,10,65,0.4375,0.442055,0.989697
2,9,60,0.9375,0.9375,1
2,8,28,0.875,0.875,1
2,7,26,0.8125,0.820958,0.989697
2,5,24,0.8125,0.8125,1
2,1,9,0.625,0.625,1
2,0,3,0,0,0.945363
1,0,63,0,0,0.945363
1,9,58,0.8125,0.8125,1
1,10,44,0.0625,0.0631506,0.989697
1,7,16,0.3125,0.315753,0.989697
1,5,14,0.5625,0.5625,1
1,4,12,0.5,0.5,1
1,3,10,0.5625,0.5625,1
1,2,8,0.375,0.375,1
0,7,72,0.945363,1,0.945363
0,1,62,0.9375,0.991683,0.945363
0,9,56,0.9375,0.991683,0.945363
0,10,42,0.8125,0.859458,0.945363
0,8,6,0.9375,0.991683,0.945363
0,6,4,0.875,0.925571,0.945363
0,2,2,0.875,0.925571,0.945363
