source,destination,demand_id,allowed_rate_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,0,52,0,0,0~,1
0,2,1,0,18,0,0,0~,2
0,3,2,0,32,0,0,0~,3
0,4,3,0,64,0,0,0~,3
0,5,4,0,40,0,0,0~,2
0,6,5,0,34,0,0,0~,2
0,7,6,0,14,0,0,0~,3
0,8,7,0,16,0,0,0~,3
0,9,8,0,50,0,0,0~,3
0,10,9,0,40,0,0,0~,3
0,11,10,0,52,0,0,0~,2
0,12,11,0,22,0,0,0~,1
0,13,12,0,24,0,1,1,1
1,2,13,0,26,0,0,0~,2
1,3,14,0,46,0,0,0~,2
1,4,15,0,94,0,1,2,2
1,5,16,0,58,0,0,0~,2
1,6,17,0,48,0,0,0~,3
1,7,18,0,20,0,0,0~,3
1,8,19,0,22,0,0,0~,3
1,9,20,0,74,0,0,0~,3
1,10,21,0,56,0,1,3,3
1,11,22,0,76,0,1,1,1
1,12,23,0,30,0,0,0~,2
1,13,24,0,32,0,0,0~,1
2,3,25,0,22,0,0,0~,2
2,4,26,0,44,0,0,0~,2
2,5,27,0,30,0,1,2,2
2,6,28,0,24,0,0,0~,2
2,7,29,0,12,0,0,0~,1
2,8,30,0,10,0,0,0~,3
2,9,31,0,34,0,0,0~,3
2,10,32,0,26,0,0,0~,3
2,11,33,0,40,0,0,0~,1
2,12,34,0,16,0,0,0~,1
2,13,35,0,14,0,0,0~,3
3,4,36,0,122,0,0,0~,2
3,5,37,0,74,0,0,0~,3
3,6,38,0,70,0,0,0~,2
3,7,39,0,22,0,0,0~,3
3,8,40,0,60,0,0,0~,1
3,9,41,0,168,0,1,1,1
3,10,42,0,194,0,0,0~,2
3,11,43,0,78,0,0,0~,1
3,12,44,0,24,0,0,0~,3
3,13,45,0,26,0,0,0~,3
4,5,46,0,148,0,1,4,2
4,6,47,0,126,0,0,0~,3
4,7,48,0,44,0,0,0~,3
4,8,49,0,54,0,0,0~,2
4,9,50,0,182,0,0,0~,2
4,10,51,0,144,0,0,0~,1
4,11,52,0,172,0,0,0~,1
4,12,53,0,46,0,0,0~,3
4,13,54,0,52,0,0,0~,3
5,6,55,0,102,0,0,0~,3
5,7,56,0,34,0,0,0~,1
5,8,57,0,34,0,0,0~,2
5,9,58,0,114,0,1,2,2
5,10,59,0,88,0,0,0~,1
5,11,60,0,102,0,0,0~,3
5,12,61,0,30,0,0,0~,3
5,13,62,0,34,0,0,0~,1
6,7,63,0,26,0,0,0~,3
6,8,64,0,32,0,0,0~,1
6,9,65,0,110,0,0,0~,1
6,10,66,0,86,0,0,0~,2
6,11,67,0,84,0,0,0~,3
6,12,68,0,26,0,1,1,1
6,13,69,0,28,0,0,0~,3
7,8,70,0,10,0,0,0~,3
7,9,71,0,34,0,0,0~,3
7,10,72,0,26,0,0,0~,2
7,11,73,0,38,0,0,0~,2
7,12,74,0,12,0,1,2,2
7,13,75,0,12,0,0,0~,2
8,9,76,0,168,0,0,0~,2
8,10,77,0,236,0,0,0~,1
8,11,78,0,36,0,0,0~,2
8,12,79,0,12,0,0,0~,2
8,13,80,0,12,0,0,0~,3
9,10,81,0,324,0,1,1,1
9,11,82,0,122,0,0,0~,2
9,12,83,0,36,0,0,0~,2
9,13,84,0,42,0,0,0~,3
10,11,85,0,94,0,1,3,2
10,12,86,0,28,0,1,3,3
10,13,87,0,32,0,1,2,2
11,12,88,0,40,0,0,0~,2
11,13,89,0,42,0,0,0~,2
12,13,90,0,16,0,0,0~,2
