source,destination,link_id,used_rate,usage,link_capa
13,5,31,9.75958,0.487979,20
13,1,9,1.22157,0.0610786,20
13,0,5,0.779727,0.0389864,20
12,6,37,13.9181,0.695906,20
12,2,15,6.26381,0.31319,20
12,0,3,3.36582,0.168291,20
11,4,25,11.8389,0.591943,20
11,3,21,9.51267,0.475634,20
11,2,13,9.1358,0.45679,20
11,1,7,4.0026,0.20013,20
10,9,41,12.3197,0.615984,20
10,8,39,6.97856,0.348928,20
10,5,29,10.0715,0.503574,20
10,4,23,2.62508,0.131254,20
9,10,40,17.167,0.85835,20
9,6,35,6.40676,0.320338,20
9,3,19,4.75634,0.237817,20
8,10,38,18.8434,0.94217,20
8,6,33,12.2287,0.611436,20
8,3,17,4.21053,0.210526,20
7,5,27,7.29045,0.364522,20
7,2,11,11.0071,0.550357,20
6,12,36,11.6959,0.584795,20
6,9,34,15.3476,0.767381,20
6,8,32,5.04224,0.252112,20
5,13,30,6.71865,0.335932,20
5,10,28,17.5439,0.877193,20
5,7,26,10.1884,0.509422,20
4,11,24,19.5712,0.978558,20
4,10,22,20,1,20
3,11,20,16.1533,0.807667,20
3,9,18,16.6472,0.832359,20
3,8,16,14.4509,0.722547,20
2,12,14,10.9292,0.546459,20
2,11,12,14.6979,0.734893,20
2,7,10,9.66862,0.483431,20
1,13,8,10.3704,0.518519,20
1,11,6,15.7245,0.786225,20
1,0,1,6.62768,0.331384,20
0,13,4,8.94087,0.447044,20
0,12,2,12.8525,0.642625,20
0,1,0,6.83561,0.34178,20
