source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,1.94757,52,0.0374532,1,1,1,1
0,2,1,0.674157,18,0.0374532,1,2,2,1
0,3,2,1.1985,32,0.0374532,2,3.5,3,2
0,4,3,2.397,64,0.0374532,1,3,3,1
0,5,4,1.49813,40,0.0374532,1,2,2,1
0,6,5,1.27341,34,0.0374532,1,2,2,1
0,7,6,0.524345,14,0.0374532,2,3,3,1
0,8,7,0.599251,16,0.0374532,1,3,3,1
0,9,8,1.87266,50,0.0374532,1,3,3,1
0,10,9,1.49813,40,0.0374532,1,3,3,1
0,11,10,1.94757,52,0.0374532,1,2,2,1
0,12,11,0.82397,22,0.0374532,1,1,1,1
0,13,12,0.898876,24,0.0374532,1,1,1,1
1,2,13,0.973783,26,0.0374532,2,2.5,2,2
1,3,14,1.72285,46,0.0374532,1,2,2,1
1,4,15,3.5206,94,0.0374532,1,2,2,1
1,5,16,2.17228,58,0.0374532,1,2,2,1
1,6,17,1.79775,48,0.0374532,1,3,3,1
1,7,18,0.749064,20,0.0374532,1,3,3,1
1,8,19,0.82397,22,0.0374532,2,3.5,3,1
1,9,20,2.77154,74,0.0374532,3,3.66667,3,2
1,10,21,2.09738,56,0.0374532,1,3,3,1
1,11,22,2.84644,76,0.0374532,1,1,1,1
1,12,23,1.1236,30,0.0374532,1,2,2,1
1,13,24,1.1985,32,0.0374532,2,1.5,1,1
2,3,25,0.82397,22,0.0374532,1,2,2,1
2,4,26,1.64794,44,0.0374532,1,2,2,1
2,5,27,1.1236,30,0.0374532,1,2,2,1
2,6,28,0.898876,24,0.0374532,1,2,2,1
2,7,29,0.449438,12,0.0374532,1,1,1,1
2,8,30,0.374532,10,0.0374532,2,3,3,1
2,9,31,1.27341,34,0.0374532,2,3,3,2
2,10,32,0.973783,26,0.0374532,1,3,3,1
2,11,33,1.49813,40,0.0374532,1,1,1,1
2,12,34,0.599251,16,0.0374532,1,1,1,1
2,13,35,0.524345,14,0.0374532,2,3,3,1
3,4,36,4.56929,122,0.0374532,2,2.5,2,1
3,5,37,2.77154,74,0.0374532,4,4,3,3
3,6,38,2.62172,70,0.0374532,2,2,2,2
3,7,39,0.82397,22,0.0374532,2,4,3,1
3,8,40,2.24719,60,0.0374532,1,1,1,1
3,9,41,6.29213,168,0.0374532,1,1,1,1
3,10,42,7.26592,194,0.0374532,2,2,2,2
3,11,43,2.92135,78,0.0374532,1,1,1,1
3,12,44,0.898876,24,0.0374532,3,3,3,3
3,13,45,0.973783,26,0.0374532,1,3,3,1
4,5,46,5.54307,148,0.0374532,2,3,2,2
4,6,47,4.7191,126,0.0374532,3,3.33333,3,2
4,7,48,1.64794,44,0.0374532,1,3,3,1
4,8,49,2.02247,54,0.0374532,2,2.5,2,1
4,9,50,6.81648,182,0.0374532,2,2.5,2,2
4,10,51,5.39326,144,0.0374532,1,1,1,1
4,11,52,6.44195,172,0.0374532,1,1,1,1
4,12,53,1.72285,46,0.0374532,1,3,3,1
4,13,54,1.94757,52,0.0374532,2,3.5,3,2
5,6,55,3.82022,102,0.0374532,3,3.33333,3,2
5,7,56,1.27341,34,0.0374532,1,1,1,1
5,8,57,1.27341,34,0.0374532,1,2,2,1
5,9,58,4.26966,114,0.0374532,1,2,2,1
5,10,59,3.29588,88,0.0374532,1,1,1,1
5,11,60,3.82022,102,0.0374532,1,3,3,1
5,12,61,1.1236,30,0.0374532,1,3,3,1
5,13,62,1.27341,34,0.0374532,1,1,1,1
6,7,63,0.973783,26,0.0374532,1,3,3,1
6,8,64,1.1985,32,0.0374532,1,1,1,1
6,9,65,4.11985,110,0.0374532,1,1,1,1
6,10,66,3.22097,86,0.0374532,2,2,2,2
6,11,67,3.14607,84,0.0374532,1,3,3,1
6,12,68,0.973783,26,0.0374532,1,1,1,1
6,13,69,1.04869,28,0.0374532,1,3,3,1
7,8,70,0.374532,10,0.0374532,2,3.5,3,1
7,9,71,1.27341,34,0.0374532,2,3.5,3,1
7,10,72,0.973783,26,0.0374532,1,2,2,1
7,11,73,1.42322,38,0.0374532,1,2,2,1
7,12,74,0.449438,12,0.0374532,1,2,2,1
7,13,75,0.449438,12,0.0374532,1,2,2,1
8,9,76,6.29213,168,0.0374532,2,2,2,2
8,10,77,8.83895,236,0.0374532,1,1,1,1
8,11,78,1.34831,36,0.0374532,1,2,2,1
8,12,79,0.449438,12,0.0374532,1,2,2,1
8,13,80,0.449438,12,0.0374532,2,3.5,3,1
9,10,81,12.1348,324,0.0374532,1,1,1,1
9,11,82,4.56929,122,0.0374532,1,2,2,1
9,12,83,1.34831,36,0.0374532,1,2,2,1
9,13,84,1.57303,42,0.0374532,2,3.5,3,1
10,11,85,3.5206,94,0.0374532,3,3,2,3
10,12,86,1.04869,28,0.0374532,3,3.33333,3,2
10,13,87,1.1985,32,0.0374532,1,2,2,1
11,12,88,1.49813,40,0.0374532,1,2,2,1
11,13,89,1.57303,42,0.0374532,1,2,2,1
12,13,90,0.599251,16,0.0374532,1,2,2,1
