source,destination,link_id,used_rate,usage,link_capa
13,5,31,9.20245,0.460123,20
13,1,9,1.44172,0.0720859,20
13,0,5,0.904908,0.0452454,20
12,6,37,13.4202,0.671012,20
12,2,15,6.13497,0.306748,20
12,0,3,3.55828,0.177914,20
11,4,25,11.4877,0.574387,20
11,3,21,8.71166,0.435583,20
11,2,13,9.04908,0.452454,20
11,1,7,4.20245,0.210123,20
10,9,41,12.316,0.615798,20
10,8,39,7.36196,0.368098,20
10,5,29,8.80368,0.440184,20
10,4,23,3.09816,0.154908,20
9,10,40,16.7791,0.838957,20
9,6,35,6.31902,0.315951,20
9,3,19,4.67791,0.233896,20
8,10,38,18.4816,0.92408,20
8,6,33,12.2853,0.614264,20
8,3,17,5.09202,0.254601,20
7,5,27,7.66871,0.383436,20
7,2,11,9.98466,0.499233,20
6,12,36,11.3037,0.565184,20
6,9,34,14.6779,0.733896,20
6,8,32,5.58282,0.279141,20
5,13,30,6.47239,0.32362,20
5,10,28,17.1933,0.859663,20
5,7,26,9.21779,0.46089,20
4,11,24,19.2791,0.963957,20
4,10,22,20,1,20
3,11,20,16.0276,0.80138,20
3,9,18,16.5031,0.825153,20
3,8,16,14.2485,0.712423,20
2,12,14,10.6748,0.533742,20
2,11,12,13.2669,0.663344,20
2,7,10,9.96933,0.498466,20
1,13,8,10.4908,0.52454,20
1,11,6,16.0123,0.800613,20
1,0,1,6.24233,0.312117,20
0,13,4,8.61963,0.430982,20
0,12,2,12.8681,0.643405,20
0,1,0,6.77914,0.338957,20
