source,destination,link_id,used_rate,usage,link_capa
13,5,31,9.25331,0.462665,20
13,1,9,0.444234,0.0222117,20
13,0,5,1.59735,0.0798677,20
12,6,37,13.8658,0.693289,20
12,2,15,6.46503,0.323251,20
12,0,3,3.45936,0.172968,20
11,4,25,11.673,0.583648,20
11,3,21,8.85633,0.442817,20
11,2,13,8.22306,0.411153,20
11,1,7,4.53686,0.226843,20
10,9,41,12.6181,0.630907,20
10,8,39,6.27599,0.3138,20
10,5,29,9.41399,0.470699,20
10,4,23,2.3535,0.117675,20
9,10,40,16.8336,0.841682,20
9,6,35,6.30435,0.315217,20
9,3,19,4.61248,0.230624,20
8,10,38,17.2117,0.860586,20
8,6,33,12.0699,0.603497,20
8,3,17,3.69565,0.184783,20
7,5,27,6.85255,0.342628,20
7,2,11,10.2552,0.51276,20
6,12,36,12.0321,0.601607,20
6,9,34,14.7732,0.738658,20
6,8,32,4.9811,0.249055,20
5,13,30,5.7656,0.28828,20
5,10,28,16.9187,0.845936,20
5,7,26,9.94329,0.497164,20
4,11,24,18.3743,0.918715,20
4,10,22,20,1,20
3,11,20,16.0302,0.801512,20
3,9,18,15.8601,0.793006,20
3,8,16,13.1758,0.65879,20
2,12,14,10.586,0.529301,20
2,11,12,14.3006,0.715028,20
2,7,10,8.67675,0.433837,20
1,13,8,10.4537,0.522684,20
1,11,6,15.2836,0.764178,20
1,0,1,6.2949,0.314745,20
0,13,4,8.91304,0.445652,20
0,12,2,12.741,0.637051,20
0,1,0,7.01323,0.350662,20
