source,destination,link_id,used_rate,usage,link_capa
10,8,59,0,0,30
10,7,20,21.9929,0.733095,30
10,6,18,11.6785,0.389284,30
10,2,16,21.0676,0.702253,30
10,1,14,20.9075,0.696916,30
10,9,5,13.8019,0.460063,30
9,8,57,4.34163,0.144721,30
9,7,12,27.4555,0.915183,30
9,6,10,25.3618,0.845392,30
9,2,8,26.7616,0.892053,30
9,1,6,20.9312,0.697705,30
9,10,4,27.6513,0.921709,30
9,0,3,0,0,30
8,7,66,27.5622,0.918741,30
8,6,64,30,1,30
8,5,62,28.9146,0.96382,30
8,1,60,28.2562,0.941875,30
8,10,58,29.4365,0.981217,30
8,9,56,28.5706,0.952353,30
8,0,1,21.4175,0.713917,30
7,8,67,5.23131,0.174377,30
7,6,55,10.0237,0.334124,30
7,5,53,17.1708,0.572361,30
7,4,51,14.3179,0.477263,30
7,0,47,0,0,30
7,1,33,13.1554,0.438512,30
7,10,21,12.586,0.419533,30
7,9,13,5.94305,0.198102,30
6,8,65,5.42703,0.180901,30
6,7,54,23.3452,0.778173,30
6,4,49,20.1305,0.671015,30
6,0,25,1.97509,0.0658363,30
6,10,19,20.8778,0.695926,30
6,9,11,8.46381,0.282127,30
5,8,63,0,0,30
5,7,52,19.0985,0.636615,30
5,4,45,13.2918,0.44306,30
5,3,43,15.8778,0.52926,30
5,2,39,13.6833,0.456109,30
5,1,31,14.4306,0.48102,30
4,7,50,21.5302,0.717675,30
4,6,48,4.56702,0.152234,30
4,5,44,15.4864,0.516212,30
4,3,41,17.0878,0.569592,30
4,2,37,12.4199,0.413997,30
4,1,29,7.71055,0.257018,30
3,5,42,7.67497,0.255832,30
3,4,40,13.7011,0.456702,30
3,2,35,0,0,30
3,1,27,1.97509,0.0658363,30
2,5,38,16.8446,0.561486,30
2,4,36,19.6263,0.654211,30
2,3,34,19.828,0.660933,30
2,1,23,5.13049,0.171016,30
2,10,17,0,0,30
2,9,9,1.14472,0.0381573,30
1,8,61,2.50889,0.0836297,30
1,7,32,26.4294,0.88098,30
1,5,30,26.3286,0.877619,30
1,4,28,25.9668,0.865559,30
1,3,26,28.1851,0.939502,30
1,2,22,27.669,0.922302,30
1,10,15,25.3024,0.843415,30
1,9,7,17.5326,0.58442,30
0,7,46,26.4353,0.881177,30
0,6,24,27.3191,0.910636,30
0,9,2,26.6548,0.888493,30
0,8,0,27.847,0.928233,30
