source,destination,link_id,used_rate_c,usage,capacity_c
10,8,59,0,0,28.4612
10,7,20,20.2168,0.717899,28.1611
10,6,18,13.2398,0.441326,30
10,2,16,20.5293,0.684311,30
10,1,14,22.3023,0.822061,27.1297
10,9,5,14.8023,0.506536,29.2226
9,8,57,6.79208,0.238643,28.4612
9,7,12,25.9375,0.92104,28.1611
9,6,10,24.037,0.822548,29.2226
9,2,8,26.7283,0.914646,29.2226
9,1,6,20.3061,0.748481,27.1297
9,10,4,27.6084,0.944764,29.2226
9,0,3,0,0,29.2226
8,7,66,27.1364,0.963616,28.1611
8,6,64,28.4612,1,28.4612
8,5,62,28.4612,1,28.4612
8,1,60,27.1297,1,27.1297
8,10,58,28.4247,0.998718,28.4612
8,9,56,28.4612,1,28.4612
8,0,1,21.8367,0.767244,28.4612
7,8,67,4.66836,0.165773,28.1611
7,6,55,7.62754,0.270854,28.1611
7,5,53,13.1888,0.468333,28.1611
7,4,51,14.8023,0.510286,29.0078
7,0,47,0,0,28.1611
7,1,33,14.7321,0.543024,27.1297
7,10,21,14.6365,0.519741,28.1611
7,9,13,6.86224,0.243678,28.1611
6,8,65,3.50127,0.123019,28.4612
6,7,54,24.5217,0.870766,28.1611
6,4,49,22.2449,0.766858,29.0078
6,0,25,2.12373,0.0707908,30
6,10,19,19.7449,0.658162,30
6,9,11,7.55738,0.258615,29.2226
5,8,63,0,0,28.4612
5,7,52,20.3444,0.722429,28.1611
5,4,45,12.6849,0.437295,29.0078
5,3,43,15.1017,0.503389,30
5,2,39,11.1671,0.372236,30
5,1,31,13.3929,0.49366,27.1297
4,7,50,19.6492,0.677377,29.0078
4,6,48,6.30102,0.217218,29.0078
4,5,44,15.44,0.532272,29.0078
4,3,41,15.3954,0.530733,29.0078
4,2,37,13.0484,0.449826,29.0078
4,1,29,10.8291,0.399159,27.1297
3,5,42,7.81249,0.260416,30
3,4,40,14.7321,0.507868,29.0078
3,2,35,0,0,30
3,1,27,0,0,27.1297
2,5,38,16.5306,0.55102,30
2,4,36,18.0166,0.621094,29.0078
2,3,34,20.0829,0.66943,30
2,1,23,3.39286,0.12506,27.1297
2,10,17,1.58163,0.0527211,30
2,9,9,1.23086,0.0421204,29.2226
1,8,61,2.01351,0.0742177,27.1297
1,7,32,26.639,0.981912,27.1297
1,5,30,27.1297,1,27.1297
1,4,28,26.3711,0.972038,27.1297
1,3,26,27.1297,1,27.1297
1,2,22,27.1297,1,27.1297
1,10,15,25.4592,0.938422,27.1297
1,9,7,14.9809,0.552193,27.1297
0,7,46,27.315,0.969957,28.1611
0,6,24,27.1747,0.905824,30
0,9,2,26.3839,0.902861,29.2226
0,8,0,27.8189,0.977432,28.4612
