source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
8,1,0,62.1372,384,0.161816,8,2.625,1,5
2,3,1,34.9804,215,0.162699,3,1.66667,1,2
6,7,2,34.4923,212,0.162699,5,1.8,1,3
9,2,3,32.0518,197,0.162699,3,2.33333,1,3
8,10,4,26.0319,160,0.162699,2,2,1,1
1,7,5,26.0319,160,0.162699,3,1.66667,1,2
1,4,6,23.4287,144,0.162699,3,2.33333,1,3
0,6,7,22.4525,138,0.162699,2,1.5,1,1
2,4,8,20.1747,124,0.162699,2,1.5,1,1
5,7,9,18.7104,115,0.162699,1,1,1,1
0,9,10,18.7104,115,0.162699,1,1,1,1
9,10,11,59.2226,364,0.162699,5,2.2,1,4
4,7,12,17.5715,108,0.162699,1,1,1,1
3,4,13,17.0834,105,0.162699,2,1.5,1,2
8,7,14,16.2699,100,0.162699,2,1.5,1,2
10,2,15,16.1072,99,0.162699,1,1,1,1
4,5,16,15.4565,95,0.162699,1,1,1,1
1,2,17,45.2305,278,0.162699,6,2.16667,1,3
10,1,18,43.2781,266,0.162699,5,2,1,3
8,9,19,42.79,263,0.162699,6,2.16667,1,4
0,8,20,41.9765,258,0.162699,5,2,1,3
8,6,21,38.9526,247,0.157703,4,2,1,3
1,5,22,37.5877,237,0.158598,6,2.16667,1,3
1,3,23,37.2984,237,0.157377,5,2.6,1,3
