source,destination,link_id,used_rate_c,usage,capacity_c
10,8,59,0,0,28.0263
10,7,20,22.299,0.828416,26.9176
10,6,18,12.4006,0.427493,29.0078
10,2,16,21.3357,0.735518,29.0078
10,1,14,22.7445,0.860465,26.4328
10,9,5,14.9897,0.541692,27.6721
9,8,57,5.6314,0.200933,28.0263
9,7,12,26.9158,0.999936,26.9176
9,6,10,26.2833,0.906078,29.0078
9,2,8,27.9246,0.962657,29.0078
9,1,6,21.7973,0.824634,26.4328
9,10,4,27.6721,1,27.6721
9,0,3,0.423975,0.0153214,27.6721
8,7,66,26.9176,1,26.9176
8,6,64,29.0078,1,29.0078
8,5,62,28.8106,1,28.8106
8,1,60,26.4328,1,26.4328
8,10,58,28.0263,1,28.0263
8,9,56,28.0263,1,28.0263
8,0,1,23.0795,0.823494,28.0263
7,8,67,5.48612,0.203812,26.9176
7,6,55,7.38718,0.254662,29.0078
7,5,53,15.146,0.525709,28.8106
7,4,51,14.11,0.5099,27.6721
7,0,47,0,0,26.9176
7,1,33,14.5623,0.550919,26.4328
7,10,21,15.3932,0.571864,26.9176
7,9,13,6.54433,0.243125,26.9176
6,8,65,3.75427,0.129423,29.0078
6,7,54,25.155,0.867181,29.0078
6,4,49,21.5545,0.778929,27.6721
6,0,25,0.311145,0.0107263,29.0078
6,10,19,22.5017,0.775712,29.0078
6,9,11,7.6624,0.26415,29.0078
5,8,63,0,0,28.8106
5,7,52,21.3392,0.74067,28.8106
5,4,45,13.4193,0.484941,27.6721
5,3,43,17.666,0.613175,28.8106
5,2,39,13.1023,0.451684,29.0078
5,1,31,13.5708,0.513407,26.4328
4,7,50,21.4691,0.77584,27.6721
4,6,48,3.34055,0.120719,27.6721
4,5,44,17.1814,0.620895,27.6721
4,3,41,16.9972,0.614237,27.6721
4,2,37,12.9621,0.44685,29.0078
4,1,29,7.42305,0.280828,26.4328
3,5,42,9.33097,0.323872,28.8106
3,4,40,13.6426,0.493009,27.6721
3,2,35,6.85205,0.236214,29.0078
3,1,27,0,0,26.4328
2,5,38,19.0893,0.658077,29.0078
2,4,36,19.2774,0.66456,29.0078
2,3,34,20.0707,0.691906,29.0078
2,1,23,8.19239,0.309933,26.4328
2,10,17,0.635963,0.0219239,29.0078
2,9,9,1.31981,0.0454983,29.0078
1,8,61,1.24169,0.0469753,26.4328
1,7,32,26.4328,1,26.4328
1,5,30,26.4328,1,26.4328
1,4,28,26.4328,1,26.4328
1,3,26,26.4328,1,26.4328
1,2,22,26.4328,1,26.4328
1,10,15,26.4328,1,26.4328
1,9,7,18.6859,0.706921,26.4328
0,7,46,26.9176,1,26.9176
0,6,24,27.8767,0.961006,29.0078
0,9,2,27.1449,0.980952,27.6721
0,8,0,28.0263,1,28.0263
