source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
8,1,0,62,384,0.161458,8,2.625,1
2,3,1,35.1411,215,0.163447,4,2,1
6,7,2,34.6508,212,0.163447,5,1.8,1
9,2,3,32.1991,197,0.163447,4,2.5,1
8,10,4,26.1515,160,0.163447,1,1,1
1,7,5,26.1515,160,0.163447,3,2,1
1,4,6,23.5364,144,0.163447,4,2.5,1
0,6,7,22.5557,138,0.163447,2,1.5,1
2,4,8,20.2674,124,0.163447,2,1.5,1
5,7,9,18.7964,115,0.163447,1,1,1
0,9,10,18.7964,115,0.163447,2,1.5,1
9,10,11,59.4948,364,0.163447,4,1.75,1
4,7,12,17.6523,108,0.163447,1,1,1
3,4,13,17.162,105,0.163447,2,1.5,1
8,7,14,16.3447,100,0.163447,3,1.66667,1
10,2,15,16.1813,99,0.163447,2,2,1
4,5,16,15.5275,95,0.163447,2,1.5,1
1,2,17,45.4101,278,0.163346,8,2.125,1
10,1,18,43.4769,266,0.163447,5,2.2,1
8,9,19,42.9866,263,0.163447,7,2.14286,1
0,8,20,42.1694,258,0.163447,4,1.75,1
8,6,21,39.1821,247,0.158632,5,2,1
1,5,22,38.6918,237,0.163256,7,2.14286,1
1,3,23,37.4532,237,0.15803,6,2.83333,1
