source,destination,link_id,used_rate,usage,link_capa
10,8,59,0,0,30
10,7,20,19.3612,0.645374,30
10,6,18,11.3709,0.379029,30
10,2,16,22.1271,0.737571,30
10,1,14,22.2446,0.741488,30
10,9,5,13.1606,0.438686,30
9,8,57,3.30822,0.110274,30
9,7,12,25.4715,0.84905,30
9,6,10,24.3055,0.810182,30
9,2,8,25.7337,0.857788,30
9,1,6,18.9183,0.630611,30
9,10,4,27.0895,0.902983,30
9,0,3,0,0,30
8,7,66,26.6013,0.886711,30
8,6,64,30,1,30
8,5,62,27.8578,0.928592,30
8,1,60,28.0115,0.933715,30
8,10,58,29.2497,0.974991,30
8,9,56,28.834,0.961133,30
8,0,1,20.2109,0.673696,30
7,8,67,6.31816,0.210605,30
7,6,55,6.86049,0.228683,30
7,5,53,13.1335,0.437782,30
7,4,51,13.8023,0.460078,30
7,0,47,0,0,30
7,1,33,13.5944,0.453148,30
7,10,21,13.6035,0.453449,30
7,9,13,5.1431,0.171437,30
6,8,65,4.96233,0.165411,30
6,7,54,22.7147,0.757156,30
6,4,49,20.3013,0.676709,30
6,0,25,0.822533,0.0274178,30
6,10,19,17.3094,0.57698,30
6,9,11,6.39951,0.213317,30
5,8,63,0,0,30
5,7,52,18.7104,0.623681,30
5,4,45,10.5032,0.350105,30
5,3,43,15.5468,0.518228,30
5,2,39,11.4522,0.381741,30
5,1,31,15.9717,0.532389,30
4,7,50,18.3941,0.613136,30
4,6,48,1.45525,0.0485085,30
4,5,44,15.4565,0.515215,30
4,3,41,16.74,0.557999,30
4,2,37,13.3594,0.445314,30
4,1,29,9.66253,0.322084,30
3,5,42,7.61975,0.253992,30
3,4,40,13.2871,0.442904,30
3,2,35,4.03133,0.134378,30
3,1,27,0,0,30
2,5,38,14.7785,0.492618,30
2,4,36,18.8099,0.626996,30
2,3,34,21.5667,0.718891,30
2,1,23,3.9319,0.131063,30
2,10,17,3.00994,0.100331,30
2,9,9,3.48899,0.1163,30
1,8,61,3.00994,0.100331,30
1,7,32,28.9334,0.964447,30
1,5,30,28.6442,0.954805,30
1,4,28,26.0229,0.867429,30
1,3,26,27.5414,0.918046,30
1,2,22,27.1166,0.903886,30
1,10,15,23.8716,0.795721,30
1,9,7,13.251,0.441699,30
0,7,46,25.345,0.844832,30
0,6,24,26.6646,0.888821,30
0,9,2,24.7755,0.82585,30
0,8,0,27.3878,0.912926,30
