source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
8,1,0,62.9263,384,0.16387,8,2.5,1,5
2,3,1,35.2321,215,0.16387,2,1.5,1,2
6,7,2,34.7405,212,0.16387,5,1.8,1,3
9,2,3,32.2825,197,0.16387,4,2.25,1,3
8,10,4,26.2193,160,0.16387,1,1,1,1
1,7,5,26.2193,160,0.16387,2,1.5,1,2
1,4,6,23.5973,144,0.16387,2,2,1,1
0,6,7,22.6141,138,0.16387,2,1.5,1,1
2,4,8,20.3199,124,0.16387,1,1,1,1
5,7,9,18.8451,115,0.16387,1,1,1,1
0,9,10,18.8451,115,0.16387,1,1,1,1
9,10,11,59.6488,364,0.16387,5,1.8,1,4
4,7,12,17.698,108,0.16387,1,1,1,1
3,4,13,17.2064,105,0.16387,2,1.5,1,1
8,7,14,16.387,100,0.16387,2,1.5,1,2
10,2,15,16.2232,99,0.16387,1,1,1,1
4,5,16,15.5677,95,0.16387,1,1,1,1
1,2,17,45.556,278,0.16387,3,1.66667,1,2
10,1,18,43.5895,266,0.16387,4,2,1,4
8,9,19,43.0979,263,0.16387,4,1.75,1,2
0,8,20,42.2786,258,0.16387,5,2,1,4
8,6,21,40.476,247,0.16387,6,2.5,1,2
1,5,22,38.8373,237,0.16387,6,2.16667,1,4
1,3,23,38.8373,237,0.16387,5,2.8,1,4
