source,destination,link_id,used_rate_c,usage,capacity_c
10,8,59,0,0,29.7154
10,7,20,21.4455,0.744362,28.8106
10,6,18,11.5372,0.384572,30
10,2,16,20.5884,0.68628,30
10,1,14,23.1598,0.83361,27.7826
10,9,5,14.0962,0.469872,30
9,8,57,1.55304,0.0522638,29.7154
9,7,12,26.1471,0.907551,28.8106
9,6,10,23.8303,0.794342,30
9,2,8,26.9873,0.899576,30
9,1,6,20.6139,0.74197,27.7826
9,10,4,28.2603,0.94201,30
9,0,3,0,0,30
8,7,66,27.751,0.963222,28.8106
8,6,64,28.7949,0.969023,29.7154
8,5,62,29.6351,0.997297,29.7154
8,1,60,27.7826,1,27.7826
8,10,58,29.7154,1,29.7154
8,9,56,29.7154,1,29.7154
8,0,1,21.8614,0.735691,29.7154
7,8,67,7.76519,0.269525,28.8106
7,6,55,8.87695,0.308114,28.8106
7,5,53,15.4116,0.534927,28.8106
7,4,51,13.0523,0.453038,28.8106
7,0,47,0,0,28.8106
7,1,33,12.8062,0.460943,27.7826
7,10,21,11.1938,0.38853,28.8106
7,9,13,5.85573,0.203249,28.8106
6,8,65,5.93211,0.199631,29.7154
6,7,54,24.1528,0.838329,28.8106
6,4,49,18.28,0.609334,30
6,0,25,0.772274,0.0257425,30
6,10,19,19.273,0.642433,30
6,9,11,8.51201,0.283734,30
5,8,63,0,0,29.7154
5,7,52,19.5191,0.677496,28.8106
5,4,45,12.5941,0.419802,30
5,3,43,15.4201,0.514003,30
5,2,39,13.6464,0.45488,30
5,1,31,14.9958,0.539754,27.7826
4,7,50,20.6478,0.716673,28.8106
4,6,48,4.099,0.136633,30
4,5,44,14.0962,0.469873,30
4,3,41,16.8434,0.561448,30
4,2,37,11.6096,0.386987,30
4,1,29,8.75812,0.315238,27.7826
3,5,42,7.98585,0.266195,30
3,4,40,14.2574,0.475248,30
3,2,35,1.8925,0.0630834,30
3,1,27,0,0,27.7826
2,5,38,17.5248,0.584158,30
2,4,36,18.942,0.6314,30
2,3,34,21.0721,0.702405,30
2,1,23,6.51768,0.234596,27.7826
2,10,17,0,0,30
2,9,9,0,0,30
1,8,61,1.1966,0.0430702,27.7826
1,7,32,27.2079,0.979315,27.7826
1,5,30,27.7826,1,27.7826
1,4,28,27.7826,1,27.7826
1,3,26,27.7826,1,27.7826
1,2,22,27.7826,1,27.7826
1,10,15,24.1103,0.867821,27.7826
1,9,7,17.3211,0.62345,27.7826
0,7,46,26.0537,0.904309,28.8106
0,6,24,28.8628,0.962093,30
0,9,2,25.9095,0.863648,30
0,8,0,28.5403,0.960456,29.7154
