source,destination,link_id,used_rate,usage,link_capa
11,7,33,114.601,0.73936,155
11,6,29,25.7442,0.166092,155
11,3,17,28.1332,0.181504,155
10,6,27,128.436,0.828617,155
10,5,25,61.1514,0.394525,155
10,4,21,74.2731,0.479181,155
10,1,9,66.0007,0.425811,155
10,0,1,0,0,155
9,7,31,89.8907,0.57994,155
9,2,11,19.3616,0.124914,155
8,5,23,17.6501,0.113872,155
8,4,19,76.0559,0.490683,155
7,11,32,155,1,155
7,9,30,92.2084,0.594893,155
7,1,7,34.1235,0.220152,155
6,11,28,126.546,0.816425,155
6,10,26,65.5372,0.42282,155
6,3,15,41.7541,0.269381,155
5,0,35,22.8916,0.147688,155
5,10,24,93.0285,0.600184,155
5,8,22,98.0918,0.63285,155
4,10,20,80.0138,0.516218,155
4,8,18,93.8843,0.605705,155
4,3,13,118.416,0.763975,155
3,11,16,121.982,0.78698,155
3,6,14,66.6782,0.430182,155
3,4,12,89.9264,0.58017,155
2,9,10,154.679,0.99793,155
2,1,5,83.936,0.541523,155
2,0,3,114.886,0.741201,155
1,10,8,151.862,0.979756,155
1,7,6,152.575,0.984357,155
1,2,4,73.5956,0.47481,155
0,5,34,129.933,0.838279,155
0,2,2,117.204,0.756154,155
0,10,0,137.528,0.887279,155
