source,destination,link_id,used_rate,usage,link_capa
11,7,33,110.317,0.71172,155
11,6,29,25.6251,0.165324,155
11,3,17,28.1591,0.181672,155
10,6,27,130.945,0.844808,155
10,5,25,61.2077,0.394888,155
10,4,21,78.0175,0.503339,155
10,1,9,67.7746,0.437255,155
10,0,1,0,0,155
9,7,31,84.3703,0.544324,155
9,2,11,19.3795,0.125029,155
8,5,23,19.7364,0.127331,155
8,4,19,75.0553,0.484227,155
7,11,32,155,1,155
7,9,30,87.9035,0.56712,155
7,1,7,27.2312,0.175685,155
6,11,28,122.13,0.787935,155
6,10,26,72.5213,0.467879,155
6,3,15,37.1172,0.239466,155
5,0,35,25.5895,0.165093,155
5,10,24,94.292,0.608335,155
5,8,22,99.1814,0.63988,155
4,10,20,82.4073,0.53166,155
4,8,18,93.9708,0.606263,155
4,3,13,118.811,0.766521,155
3,11,16,122.237,0.788625,155
3,6,14,62.207,0.401335,155
3,4,12,90.0092,0.580705,155
2,9,10,153.608,0.99102,155
2,1,5,85.0484,0.548699,155
2,0,3,119.56,0.771356,155
1,10,8,147.577,0.952107,155
1,7,6,151.253,0.975823,155
1,2,4,75.3765,0.4863,155
0,5,34,132.837,0.857011,155
0,2,2,119.988,0.774119,155
0,10,0,139.439,0.899609,155
