source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length,number_of_reused_paths
0,1,0,30.0257,195,0.153978,2,2,2,2
0,2,1,24.3285,158,0.153978,1,1,1,1
0,3,2,26.7922,174,0.153978,5,3.6,3,4
0,4,3,15.5518,101,0.153978,3,2.66667,2,3
0,5,4,30.4877,198,0.153978,2,1.5,1,2
0,6,5,24.3285,158,0.153978,4,3.5,2,3
0,7,6,28.024,182,0.153978,2,3,3,2
0,8,7,23.7126,154,0.153978,3,2.66667,2,3
0,9,8,26.9462,175,0.153978,2,3,2,2
0,10,9,18.7853,122,0.153978,2,1.5,1,2
0,11,10,17.5535,114,0.153978,7,4.28571,3,7
1,2,11,27.5621,179,0.153978,1,1,1,1
1,3,12,18.0154,117,0.153978,3,3,3,3
1,4,13,16.1677,105,0.153978,1,2,2,1
1,5,14,24.4825,159,0.153978,3,3,2,2
1,6,15,30.4877,198,0.153978,6,3.83333,2,5
1,7,16,29.1019,189,0.153978,2,2,1,2
1,8,17,25.5604,166,0.153978,5,4,3,4
1,9,18,21.8649,142,0.153978,2,2,2,2
1,10,19,21.095,137,0.153978,3,2.66667,1,3
1,11,20,25.0984,163,0.153978,3,3.66667,2,2
2,3,21,20.1711,131,0.153978,7,4.42857,4,7
2,4,22,24.4825,159,0.153978,4,3.5,3,4
2,5,23,25.2524,164,0.153978,3,2.66667,2,3
2,6,24,19.7092,128,0.153978,7,4.28571,3,6
2,7,25,30.0257,195,0.153978,2,2,2,2
2,8,26,20.0172,130,0.153978,5,3.8,3,5
2,9,27,16.1677,105,0.153978,2,2,1,2
2,10,28,26.6382,173,0.153978,3,2.33333,2,3
2,11,29,24.1746,157,0.153978,2,3,3,2
3,4,30,29.8718,194,0.153978,1,1,1,1
3,5,31,19.2473,125,0.153978,2,3,3,1
3,6,32,16.9376,110,0.153978,1,1,1,1
3,7,33,20.3251,132,0.153978,2,2.5,2,2
3,8,34,24.4825,159,0.153978,1,2,2,1
3,9,35,16.7836,109,0.153978,2,3.5,3,2
3,10,36,19.4012,126,0.153978,1,2,2,1
3,11,37,15.3978,100,0.153978,2,1.5,1,2
4,5,38,19.0933,124,0.153978,2,2,2,2
4,6,39,16.3217,106,0.153978,2,2,2,2
4,7,40,20.941,136,0.153978,5,3.8,3,5
4,8,41,22.1729,144,0.153978,1,1,1,1
4,9,42,25.8683,168,0.153978,5,4.4,4,5
4,10,43,18.3234,119,0.153978,1,1,1,1
4,11,44,19.5552,127,0.153978,3,2.66667,2,3
5,6,45,16.1677,105,0.153978,2,3,2,2
5,7,46,22.6348,147,0.153978,3,4,3,3
5,8,47,21.5569,140,0.153978,1,1,1,1
5,9,48,30.4877,198,0.153978,7,5,3,6
5,10,49,16.0137,104,0.153978,1,1,1,1
5,11,50,17.3995,113,0.153978,5,4,3,4
6,7,51,26.0223,169,0.153978,2,2.5,2,2
6,8,52,28.7939,187,0.153978,2,3,3,1
6,9,53,30.1797,196,0.153978,2,3.5,3,2
6,10,54,29.7178,193,0.153978,1,1,1,1
6,11,55,23.2507,151,0.153978,2,1.5,1,2
7,8,56,16.3217,106,0.153978,2,4.5,4,1
7,9,57,19.2473,125,0.153978,1,1,1,1
7,10,58,28.7155,194,0.148018,3,3,2,3
7,11,59,29.8718,194,0.153978,1,1,1,1
8,9,60,18.9393,123,0.153978,7,5.57143,4,5
8,10,61,27.87,181,0.153978,2,2,2,2
8,11,62,29.7178,193,0.153978,3,4,3,3
9,10,63,17.2288,181,0.0951865,4,3.5,3,4
9,11,64,30.0257,195,0.153978,1,2,2,1
10,11,65,21.7109,141,0.153978,4,3,2,3
