source,destination,link_id,used_rate_c,usage,capacity_c
11,7,33,118.826,0.766622,155
11,6,29,27.6377,0.178945,154.448
11,3,17,18.42,0.118839,155
10,6,27,149.217,0.966133,154.448
10,5,25,65.9418,0.462651,142.531
10,4,21,107.569,0.707842,151.968
10,1,9,83.7389,0.587516,142.531
10,0,1,0,0,153.916
9,7,31,88.1623,0.568789,155
9,2,11,17.4499,0.113373,153.916
8,5,23,11.8465,0.0764292,155
8,4,19,103.871,0.683506,151.968
7,11,32,155,1,155
7,9,30,115.019,0.742057,155
7,1,7,4.00337,0.0258282,155
6,11,28,131.713,0.852797,154.448
6,10,26,93.0924,0.602742,154.448
6,3,15,71.4165,0.462398,154.448
5,0,35,10.4355,0.0678001,153.916
5,10,24,111.853,0.784762,142.531
5,8,22,113.341,0.731229,155
4,10,20,109.197,0.718554,151.968
4,8,18,108.468,0.713755,151.968
4,3,13,149.212,0.981865,151.968
3,11,16,131.927,0.851142,155
3,6,14,105.355,0.682136,154.448
3,4,12,99.2347,0.652998,151.968
2,9,10,149.824,0.973411,153.916
2,1,5,110.819,0.719999,153.916
2,0,3,145.985,0.948473,153.916
1,10,8,142.531,1,142.531
1,7,6,149.952,0.967434,155
1,2,4,115.489,0.750339,153.916
0,5,34,152.143,0.98848,153.916
0,2,2,118.941,0.772766,153.916
0,10,0,151.873,0.986725,153.916
