source,destination,link_id,used_rate,usage,link_capa
11,7,33,111.535,0.719584,155
11,6,29,24.0688,0.155283,155
11,3,17,28.3078,0.182631,155
10,6,27,133.805,0.86326,155
10,5,25,58.3525,0.376467,155
10,4,21,83.4552,0.53842,155
10,1,9,73.5919,0.474787,155
10,0,1,0,0,155
9,7,31,87.5287,0.564701,155
9,2,11,18.7133,0.120731,155
8,5,23,17.8862,0.115395,155
8,4,19,75.8044,0.489061,155
7,11,32,155,1,155
7,9,30,93.9801,0.606323,155
7,1,7,23.5312,0.151814,155
6,11,28,123.198,0.794824,155
6,10,26,77.5827,0.500534,155
6,3,15,40.7144,0.262673,155
5,0,35,18.3618,0.118463,155
5,10,24,96.6475,0.623533,155
5,8,22,99.439,0.641542,155
4,10,20,84.0548,0.542289,155
4,8,18,93.9801,0.606323,155
4,3,13,126.279,0.814701,155
3,11,16,124.252,0.801628,155
3,6,14,70.4489,0.454509,155
3,4,12,92.2225,0.594984,155
2,9,10,151.94,0.980256,155
2,1,5,90.4856,0.583778,155
2,0,3,123.012,0.793623,155
1,10,8,149.996,0.967716,155
1,7,6,150.306,0.969717,155
1,2,4,84.1582,0.542956,155
0,5,34,132.854,0.857124,155
0,2,2,117.098,0.75547,155
0,10,0,141.973,0.915955,155
