source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
12,8,0,10,10,1,15,4.2,2,7
12,21,1,7,7,1,29,4.82759,4,6
12,9,2,7,7,1,4,2,2,4
12,14,3,6,6,1,4,2,1,3
12,11,4,4,4,1,2,1,1,2
12,2,5,11,11,1,32,6,5,3
12,0,6,9,9,1,34,6.20588,5,1
12,7,7,2,2,1,18,3.72222,3,8
12,25,8,10,10,1,20,3.2,3,10
12,16,9,7,7,1,2,1,1,2
16,9,10,6,6,1,8,3,3,8
16,20,11,7,7,1,32,4.6875,4,2
16,18,12,11,11,1,13,2.38462,2,9
16,14,13,4,4,1,8,2.5,2,5
16,6,14,10,10,1,4,2,2,4
16,13,15,11,11,1,2,1,1,2
16,0,16,14,14,1,34,5.11765,4,1
16,3,17,13,13,1,25,3.28,3,6
16,21,18,8,8,1,30,4.36667,3,2
16,24,19,9,9,1,23,4.04348,3,7
8,25,20,4,4,1,15,3.33333,3,8
8,7,21,6,6,1,2,1,1,2
8,22,22,3,3,1,31,5.48387,5,4
8,6,23,13,13,1,4,2,2,4
8,9,24,14,14,1,6,1.66667,1,5
8,11,25,2,2,1,2,1,1,2
8,2,26,4,4,1,32,6.875,6,3
8,20,27,12,12,1,35,7.45714,7,0
8,10,28,13,13,1,11,2.27273,2,10
8,12,29,1,1,1,19,4.36842,2,7
8,18,30,6,6,1,31,5.32258,5,4
2,22,31,5,5,1,27,4.40741,4,6
2,0,32,8,8,1,9,3.44444,2,4
2,25,33,10,10,1,30,5.53333,4,4
2,4,34,14,14,1,9,3.77778,2,4
2,15,35,2,2,1,33,4.60606,3,2
2,14,36,3,3,1,32,5.59375,4,2
2,10,37,7,7,1,32,6.53125,5,2
2,20,38,5,5,1,12,3.41667,3,9
2,19,39,10,10,1,15,3.2,2,5
2,13,40,1,1,1,14,4.42857,3,8
4,20,41,7,7,1,29,4.89655,4,3
4,11,42,7,7,1,25,4.68,4,8
4,3,43,9,9,1,3,1.66667,1,2
4,21,44,5,5,1,28,4.39286,4,6
4,6,45,3,3,1,8,2,2,7
4,7,46,2,2,1,14,3,3,10
4,24,47,7,7,1,25,4.04,4,8
4,22,48,4,4,1,29,4.03448,4,6
4,2,49,7,7,1,4,2,2,4
5,10,50,1,1,1,31,5.06452,5,4
5,15,51,12,12,1,17,3.70588,3,7
5,11,52,1,1,1,14,4.07143,4,11
5,25,53,5,5,1,29,5.03448,4,6
5,24,54,6,6,1,35,6.14286,5,0
5,12,55,2,2,1,17,3.52941,3,7
5,3,56,14,14,1,11,3.09091,2,7
5,21,57,1,1,1,34,6.55882,5,1
5,14,58,13,13,1,34,5.29412,4,1
5,16,59,11,11,1,8,2.5,2,7
5,1,60,6,6,1,34,6.5,4,1
2,11,61,13,13,1,35,7.97143,6,0
16,15,62,10,10,1,10,2.3,1,5
16,22,63,2,2,1,18,4,3,11
2,1,64,3,3,1,6,3.83333,1,2
2,3,65,14,14,1,2,1,1,2
8,15,66,2,2,1,24,4.04167,4,6
