source,destination,link_id,used_rate,usage,link_capa
26,18,122,0,0,40
26,18,121,0,0,40
26,21,112,4.60776,0.115194,40
26,21,111,4.67731,0.116933,40
26,19,108,4.99029,0.124757,40
26,19,107,5.02506,0.125627,40
26,22,74,2.10392,0.052598,40
26,22,71,2.05176,0.0512939,40
26,23,8,0.712898,0.0178224,40
26,23,7,0.852,0.0213,40
25,15,148,0.069551,0.00173878,40
25,15,147,0.069551,0.00173878,40
25,24,52,10.2936,0.257339,40
25,24,49,10.2588,0.256469,40
25,10,46,2.43429,0.0608571,40
25,10,45,2.556,0.0639,40
24,23,60,1.94743,0.0486857,40
24,23,59,1.91265,0.0478163,40
24,22,56,4.08612,0.102153,40
24,22,55,3.99918,0.0999796,40
24,25,53,5.04245,0.126061,40
24,25,48,5.112,0.1278,40
23,15,144,2.13869,0.0534673,40
23,15,143,2.2778,0.0569449,40
23,18,140,0.330367,0.00825918,40
23,18,137,0.208653,0.00521633,40
23,21,68,5.23371,0.130843,40
23,21,67,5.26849,0.131712,40
23,22,64,3.82531,0.0956327,40
23,22,63,3.79053,0.0947633,40
23,24,61,4.24261,0.106065,40
23,24,58,4.26,0.1065,40
23,26,9,3.82531,0.0956327,40
23,26,6,3.87747,0.0969367,40
22,21,78,4.62514,0.115629,40
22,21,77,4.67731,0.116933,40
22,26,75,0.104327,0.00260816,40
22,26,70,0.104327,0.00260816,40
22,23,65,0,0,40
22,23,62,0,0,40
22,24,57,3.25151,0.0812878,40
22,24,54,3.18196,0.079549,40
21,26,113,0.173878,0.00434694,40
21,26,110,0,0,40
21,19,100,2.74727,0.0686816,40
21,19,99,2.86898,0.0717245,40
21,20,82,5.32065,0.133016,40
21,20,81,5.37282,0.13432,40
21,22,79,2.34735,0.0586837,40
21,22,76,2.26041,0.0565102,40
21,23,69,1.39102,0.0347755,40
21,23,66,1.44318,0.0360796,40
20,19,90,0,0,40
20,19,89,0,0,40
20,0,86,2.08653,0.0521633,40
20,0,85,2.2778,0.0569449,40
20,21,83,1.28669,0.0321673,40
20,21,80,1.39102,0.0347755,40
19,18,118,1.32147,0.0330367,40
19,18,115,1.44318,0.0360796,40
19,26,109,2.85159,0.0712898,40
19,26,106,2.62555,0.0656388,40
19,1,104,3.19935,0.0799837,40
19,1,103,3.16457,0.0791143,40
19,21,101,2.50384,0.0625959,40
19,21,98,2.43429,0.0608571,40
19,0,96,5.09461,0.127365,40
19,0,93,5.23371,0.130843,40
19,20,91,4.90335,0.122584,40
19,20,88,5.02506,0.125627,40
18,23,141,5.26849,0.131712,40
18,23,136,5.23371,0.130843,40
18,15,134,3.33845,0.0834612,40
18,15,133,3.39061,0.0847653,40
18,17,130,0.556408,0.0139102,40
18,17,129,0.765061,0.0191265,40
18,3,126,5.44237,0.136059,40
18,3,125,5.45976,0.136494,40
18,26,123,5.6858,0.142145,40
18,26,120,5.77273,0.144318,40
18,19,119,6.41608,0.160402,40
18,19,114,6.48563,0.162141,40
17,4,178,0.730286,0.0182571,40
17,4,177,0.817224,0.0204306,40
17,16,174,0.121714,0.00304286,40
17,16,173,0,0,40
17,15,170,11.1977,0.279943,40
17,15,169,11.2151,0.280378,40
17,18,131,11.7715,0.294288,40
17,18,128,11.6846,0.292114,40
16,12,200,7.8071,0.195178,40
16,12,199,8.06792,0.201698,40
16,13,184,9.21551,0.230388,40
16,13,181,9.31984,0.232996,40
16,17,175,11.5455,0.288637,40
16,17,172,11.6324,0.29081,40
16,15,166,12.3801,0.309502,40
16,15,165,12.3105,0.307763,40
15,17,171,0,0,40
15,17,168,0,0,40
15,16,167,0,0,40
15,16,164,0,0,40
15,14,152,4.60776,0.115194,40
15,14,151,4.60776,0.115194,40
15,25,149,6.29437,0.157359,40
15,25,146,6.19004,0.154751,40
