source,destination,link_id,used_rate_c,usage,capacity_c
11,8,26,15737.6,0.41665,37771.8
11,1,6,29922.9,0.869694,34406.2
10,9,28,6417.93,0.178481,35958.7
10,3,16,12337.9,0.353207,34931
9,10,29,3694.64,0.102747,35958.7
9,7,24,16678,0.442622,37680.1
9,3,14,16363.2,0.468443,34931
8,11,27,24714.9,0.654321,37771.8
8,2,10,18742.2,0.485108,38635.1
7,9,25,19701.3,0.522856,37680.1
7,4,20,32165,0.90806,35421.6
6,5,22,29235.7,0.834241,35044.7
6,4,18,18354.5,0.518171,35421.6
6,3,12,20006,0.572727,34931
5,6,23,35044.7,1,35044.7
5,2,8,29016.6,0.751041,38635.1
5,1,4,14508.3,0.421676,34406.2
4,7,21,17067,0.481824,35421.6
4,6,19,4619.63,0.130418,35421.6
4,1,2,26446.3,0.76865,34406.2
3,10,17,4333.69,0.124064,34931
3,9,15,13611.6,0.389671,34931
3,6,13,31077.5,0.88968,34931
2,8,11,18058.9,0.467422,38635.1
2,5,9,34316.6,0.888222,38635.1
1,11,7,22510.3,0.654252,34406.2
1,5,5,13381.8,0.388935,34406.2
1,4,3,34406.2,1,34406.2
1,0,0,1062.85,0.0308911,34406.2
0,1,1,1058.95,0.0307779,34406.2
