source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
5,10,0,225.264,3580,0.0629228,1,3,3,1
2,0,1,174.296,2770,0.0629228,2,3.5,3,2
4,10,2,109.8,1745,0.0629228,2,3,3,1
7,6,3,174.045,2766,0.0629228,3,3,2,2
7,8,4,753.124,11969,0.0629228,2,5.5,4,1
4,7,5,1034.26,16437,0.0629228,1,1,1,1
5,2,6,1710.68,27187,0.0629228,1,1,1,1
7,10,7,609.345,9684,0.0629228,1,2,2,1
7,9,8,1441.31,22906,0.0629228,1,1,1,1
3,0,9,103.319,1642,0.0629228,2,4,4,2
4,0,10,52.3518,832,0.0629228,1,2,2,1
0,6,11,39.6414,630,0.0629228,2,3,3,2
2,3,12,1973.45,31363,0.0629228,2,4.5,3,2
6,8,13,240.554,3823,0.0629228,3,3.66667,3,3
4,5,14,209.974,3337,0.0629228,2,2,2,2
3,5,15,484.128,7694,0.0629228,1,2,2,1
11,8,16,2521.26,40069,0.0629228,1,1,1,1
6,11,17,283.593,4507,0.0629228,2,3,3,2
9,8,18,342.741,5447,0.0629228,4,5.5,5,3
11,3,19,1010.67,16062,0.0629228,2,4,4,2
6,10,20,122.448,1946,0.0629228,1,2,2,1
3,6,21,262.074,4165,0.0629228,1,1,1,1
5,8,22,1176.34,18695,0.0629228,2,2.5,2,2
0,5,23,49.6461,789,0.0629228,1,2,2,1
8,9,24,325.248,5169,0.0629228,3,5.66667,5,2
1,8,25,552.651,8783,0.0629228,1,2,2,1
0,9,26,14.661,233,0.0629228,3,5,4,2
9,3,27,322.668,5128,0.0629228,2,1.5,1,1
11,6,28,637.408,10130,0.0629228,2,3,3,2
1,11,29,2337.58,37150,0.0629228,1,1,1,1
6,7,30,175.114,2783,0.0629228,3,3,2,2
6,4,31,182.036,2893,0.0629228,1,1,1,1
8,7,32,2149.88,34167,0.0629228,2,5,4,2
8,2,33,7697.16,122327,0.0629228,1,1,1,1
10,4,34,487.904,7754,0.0629228,2,3,3,1
6,3,35,249.3,3962,0.0629228,1,1,1,1
5,6,36,304.61,4841,0.0629228,1,1,1,1
0,11,37,348.467,5538,0.0629228,1,2,2,1
2,10,38,319.774,5082,0.0629228,2,5.5,4,2
2,8,39,1502.72,23882,0.0629228,1,1,1,1
10,8,40,811.013,12889,0.0629228,3,5.66667,5,3
6,9,41,76.3254,1213,0.0629228,2,2.5,2,2
8,6,42,433.79,6894,0.0629228,3,3.66667,3,2
10,3,43,469.971,7469,0.0629228,1,1,1,1
9,2,44,438.006,6961,0.0629228,2,4.5,4,1
9,0,45,40.6482,646,0.0629228,2,4.5,4,2
10,2,46,1533.49,24371,0.0629228,1,4,4,1
5,11,47,839.517,13342,0.0629228,1,2,2,1
11,7,48,2776.09,44119,0.0629228,2,4.5,3,1
7,0,49,84.1278,1337,0.0629228,1,3,3,1
7,5,50,749.159,11906,0.0629228,2,3.5,3,2
5,3,51,677.742,10771,0.0629228,1,2,2,1
11,5,52,632.689,10055,0.0629228,1,2,2,1
9,4,53,181.407,2883,0.0629228,2,2.5,2,2
1,4,54,3527.9,56067,0.0629228,1,1,1,1
8,1,55,1132.04,17991,0.0629228,1,2,2,1
4,3,56,91.4898,1454,0.0629228,1,2,2,1
0,2,57,196.823,3128,0.0629228,2,3.5,3,2
1,7,58,4342.68,69016,0.0629228,2,4,2,2
7,4,59,10167.1,161581,0.0629228,1,1,1,1
3,11,60,647.476,10290,0.0629228,2,4,4,2
2,1,61,2311.6,36737,0.0629228,2,2.5,2,2
5,0,62,125.342,1992,0.0629228,1,2,2,1
6,1,63,125.909,2001,0.0629228,2,2,2,2
4,11,64,949.82,15095,0.0629228,1,2,2,1
11,10,65,498.978,7930,0.0629228,2,5,5,2
11,1,66,1604.72,25503,0.0629228,1,1,1,1
1,2,67,386.472,6142,0.0629228,2,2.5,2,2
5,7,68,1407.33,22366,0.0629228,2,3.5,3,2
4,1,69,1641.59,26089,0.0629228,1,1,1,1
9,7,70,603.367,9589,0.0629228,1,1,1,1
8,0,71,67.705,1076,0.0629228,1,3,3,1
1,5,72,572.22,9094,0.0629228,1,1,1,1
3,2,73,881.675,14012,0.0629228,1,3,3,1
