source,destination,link_id,used_rate,usage,link_capa
11,8,26,13377.6,0.33444,40000
11,1,6,28605.8,0.715146,40000
10,9,28,5952.07,0.148802,40000
10,3,16,8907.83,0.222696,40000
9,10,29,1216.32,0.0304079,40000
9,7,24,18753.2,0.468829,40000
9,3,14,16430.2,0.410755,40000
8,11,27,23771.7,0.594293,40000
8,2,10,15898,0.397451,40000
7,9,25,17468.9,0.436722,40000
7,4,20,31158.3,0.778957,40000
6,5,22,28289.4,0.707234,40000
6,4,18,18679,0.466976,40000
6,3,12,22073.1,0.551828,40000
5,6,23,37490.1,0.937252,40000
5,2,8,28163.6,0.704089,40000
5,1,4,15341.4,0.383535,40000
4,7,21,21316.6,0.532914,40000
4,6,19,6927.45,0.173186,40000
4,1,2,23395.1,0.584878,40000
3,10,17,3686.24,0.092156,40000
3,9,15,15758.6,0.393966,40000
3,6,13,27543.8,0.688595,40000
2,8,11,16609.6,0.415241,40000
2,5,9,40000,1,40000
1,11,7,19664.1,0.491602,40000
1,5,5,11187.6,0.279691,40000
1,4,3,35953.1,0.898827,40000
1,0,0,986.543,0.0246636,40000
0,1,1,982.927,0.0245732,40000
