source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
5,10,0,234.691,3580,0.065556,1,3,3
2,0,1,181.59,2770,0.065556,2,3.5,3
4,10,2,114.395,1745,0.065556,2,3,3
7,6,3,181.328,2766,0.065556,2,2.5,2
7,8,4,784.64,11969,0.065556,2,5.5,4
4,7,5,1077.54,16437,0.065556,1,1,1
5,2,6,1782.27,27187,0.065556,1,1,1
7,10,7,634.844,9684,0.065556,1,2,2
7,9,8,1501.63,22906,0.065556,1,1,1
3,0,9,107.643,1642,0.065556,2,4,4
4,0,10,54.5426,832,0.065556,1,2,2
0,6,11,41.3003,630,0.065556,2,3,3
2,3,12,2056.03,31363,0.065556,2,4.5,3
6,8,13,250.621,3823,0.065556,3,3.66667,3
4,5,14,218.76,3337,0.065556,2,2,2
3,5,15,504.388,7694,0.065556,1,2,2
11,8,16,2626.76,40069,0.065556,1,1,1
6,11,17,295.461,4507,0.065556,2,3,3
9,8,18,357.084,5447,0.065556,4,5.75,5
11,3,19,1052.96,16062,0.065556,2,4,4
6,10,20,127.572,1946,0.065556,1,2,2
3,6,21,273.041,4165,0.065556,1,1,1
5,8,22,1225.57,18695,0.065556,2,2.5,2
0,5,23,51.7237,789,0.065556,1,2,2
8,9,24,338.859,5169,0.065556,3,5.66667,5
1,8,25,575.779,8783,0.065556,1,2,2
0,9,26,15.2746,233,0.065556,3,5,4
9,3,27,336.171,5128,0.065556,2,1.5,1
11,6,28,664.082,10130,0.065556,2,3,3
1,11,29,2435.41,37150,0.065556,1,1,1
6,7,30,182.442,2783,0.065556,3,3,2
6,4,31,189.654,2893,0.065556,1,1,1
8,7,32,2239.85,34167,0.065556,3,5.66667,4
8,2,33,8019.27,122327,0.065556,1,1,1
10,4,34,508.321,7754,0.065556,2,3,3
6,3,35,259.733,3962,0.065556,1,1,1
5,6,36,317.357,4841,0.065556,1,1,1
0,11,37,363.049,5538,0.065556,1,2,2
2,10,38,333.156,5082,0.065556,2,5.5,4
2,8,39,1565.61,23882,0.065556,1,1,1
10,8,40,844.952,12889,0.065556,3,5.66667,5
6,9,41,79.5195,1213,0.065556,2,2.5,2
8,6,42,451.943,6894,0.065556,3,3.66667,3
10,3,43,489.638,7469,0.065556,1,1,1
9,2,44,456.335,6961,0.065556,1,4,4
9,0,45,42.3492,646,0.065556,3,4.66667,4
10,2,46,1597.67,24371,0.065556,1,4,4
5,11,47,874.648,13342,0.065556,1,2,2
11,7,48,2892.27,44119,0.065556,1,3,3
7,0,49,87.6484,1337,0.065556,1,3,3
7,5,50,780.51,11906,0.065556,2,3.5,3
5,3,51,706.104,10771,0.065556,1,2,2
11,5,52,659.166,10055,0.065556,1,2,2
9,4,53,188.998,2883,0.065556,2,2.5,2
1,4,54,3675.53,56067,0.065556,1,1,1
8,1,55,1179.42,17991,0.065556,1,2,2
4,3,56,95.3185,1454,0.065556,1,2,2
0,2,57,205.059,3128,0.065556,2,3.5,3
1,7,58,4524.41,69016,0.065556,2,4,2
7,4,59,10592.6,161581,0.065556,1,1,1
3,11,60,674.571,10290,0.065556,2,4,4
2,1,61,2408.33,36737,0.065556,2,2.5,2
5,0,62,130.588,1992,0.065556,1,2,2
6,1,63,131.178,2001,0.065556,2,2,2
4,11,64,989.568,15095,0.065556,1,2,2
11,10,65,519.859,7930,0.065556,2,5,5
11,1,66,1671.88,25503,0.065556,1,1,1
1,2,67,402.645,6142,0.065556,2,2.5,2
5,7,68,1466.23,22366,0.065556,2,3.5,3
4,1,69,1710.29,26089,0.065556,1,1,1
9,7,70,628.617,9589,0.065556,1,1,1
8,0,71,70.5383,1076,0.065556,1,3,3
1,5,72,596.166,9094,0.065556,1,1,1
3,2,73,918.571,14012,0.065556,1,3,3
2,5,74,948.661,14471,0.065556,1,1,1
11,4,75,1755.52,26779,0.065556,1,2,2
10,9,76,1713.83,26143,0.065556,1,1,1
8,10,77,569.42,8686,0.065556,3,5.66667,5
7,2,78,27859.3,424969,0.065556,4,4.5,4
10,11,79,1060.57,16178,0.065556,3,5,5
3,1,80,224.464,3424,0.065556,2,3,3
9,11,81,259.733,3962,0.065556,3,5,4
9,5,82,218.826,3338,0.065556,3,3.66667,3
3,7,83,501.635,7652,0.065556,2,2.5,2
10,6,84,886.121,13517,0.065556,1,2,2
11,9,85,406.906,6207,0.065556,4,5,4
1,10,86,170.708,2604,0.065556,2,4,4
1,0,87,140.683,2146,0.065556,1,1,1
7,3,88,423.426,6459,0.065556,2,2.5,2
2,6,89,2211.47,33734,0.065556,1,2,2
2,4,90,21612,329673,0.065556,3,3.33333,3
10,1,91,2710.02,41339,0.065556,3,4,4
0,7,92,66.6049,1016,0.065556,2,4.5,3
11,0,93,129.932,1982,0.065556,1,2,2
2,9,94,236.133,3602,0.065556,3,5.66667,4
10,0,95,61.0982,932,0.065556,3,5,5
0,4,96,114.985,1754,0.065556,2,3,2
5,1,97,525.497,8016,0.065556,1,1,1
1,9,98,142.519,2174,0.065556,3,3.66667,3
0,10,99,16.3234,249,0.065556,3,5,5
3,4,100,501.438,7649,0.065556,1,2,2
6,5,101,249.113,3800,0.065556,1,1,1
0,1,102,74.7339,1140,0.065556,1,1,1
2,11,103,1435.41,21896,0.065556,1,2,2
9,6,104,131.505,2006,0.065556,2,2.5,2
3,9,105,1445.51,22050,0.065556,2,1.5,1
4,9,106,41.3003,630,0.065556,2,2.5,2
4,8,107,448.403,6840,0.065556,1,3,3
4,2,108,846.525,12913,0.065556,3,3.33333,3
5,4,109,963.805,14702,0.065556,2,2,2
4,6,110,132.816,2026,0.065556,1,1,1
7,1,111,2916.19,44484,0.065556,2,3.5,2
7,11,112,4667.39,71197,0.065556,2,4.5,3
3,10,113,424.147,6470,0.065556,1,1,1
10,7,114,2390.7,36468,0.065556,1,2,2
1,3,115,220.268,3360,0.065556,2,3,3
1,6,116,159.236,2429,0.065556,2,2,2
10,5,117,1937.51,29555,0.065556,1,3,3
8,11,118,3145.38,47980,0.065556,1,1,1
9,1,119,62.606,955,0.065556,3,4,3
8,4,120,2163.22,32998,0.065556,2,4,3
0,8,121,75.3239,1149,0.065556,1,3,3
11,2,122,2268.04,34597,0.065556,1,2,2
6,2,123,512.32,7815,0.065556,1,2,2
5,9,124,137.274,2094,0.065556,2,3.5,3
0,3,125,27.2057,415,0.065556,2,4,4
2,7,126,17877.4,385991,0.0463156,4,5.5,4
8,5,127,575.123,8773,0.065556,2,2.5,2
3,8,128,404.94,6177,0.065556,3,4.66667,4
6,0,129,48.8392,745,0.065556,2,3,3
9,10,130,402.448,6139,0.065556,1,1,1
8,3,131,0,11677,0,3,4.66667,4
