source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
5,10,0,232.413,3580,0.0649199,1,3,3
2,0,1,179.828,2770,0.0649199,2,3.5,3
4,10,2,113.285,1745,0.0649199,2,3,3
7,6,3,179.568,2766,0.0649199,3,3,2
7,8,4,777.026,11969,0.0649199,1,4,4
4,7,5,1067.09,16437,0.0649199,1,1,1
5,2,6,1764.98,27187,0.0649199,1,1,1
7,10,7,628.684,9684,0.0649199,1,2,2
7,9,8,1487.06,22906,0.0649199,1,1,1
3,0,9,106.599,1642,0.0649199,2,4,4
4,0,10,54.0134,832,0.0649199,1,2,2
0,6,11,40.8995,630,0.0649199,2,3,3
2,3,12,2036.08,31363,0.0649199,2,4.5,3
6,8,13,248.189,3823,0.0649199,3,3.66667,3
4,5,14,216.638,3337,0.0649199,2,2,2
3,5,15,499.494,7694,0.0649199,1,2,2
11,8,16,2601.28,40069,0.0649199,1,1,1
6,11,17,292.594,4507,0.0649199,2,3,3
9,8,18,353.619,5447,0.0649199,4,5.75,5
11,3,19,1042.74,16062,0.0649199,2,4,4
6,10,20,126.334,1946,0.0649199,1,2,2
3,6,21,270.391,4165,0.0649199,1,1,1
5,8,22,1213.68,18695,0.0649199,2,2.5,2
0,5,23,51.2218,789,0.0649199,1,2,2
8,9,24,335.571,5169,0.0649199,4,5.75,5
1,8,25,570.192,8783,0.0649199,1,2,2
0,9,26,15.1263,233,0.0649199,3,5,4
9,3,27,332.909,5128,0.0649199,2,1.5,1
11,6,28,657.639,10130,0.0649199,2,3,3
1,11,29,2411.77,37150,0.0649199,1,1,1
6,7,30,180.672,2783,0.0649199,3,3,2
6,4,31,187.813,2893,0.0649199,1,1,1
8,7,32,2218.12,34167,0.0649199,2,5,4
8,2,33,7941.46,122327,0.0649199,1,1,1
10,4,34,503.389,7754,0.0649199,2,3,3
6,3,35,257.213,3962,0.0649199,1,1,1
5,6,36,314.277,4841,0.0649199,1,1,1
0,11,37,359.526,5538,0.0649199,1,2,2
2,10,38,329.923,5082,0.0649199,2,5.5,4
2,8,39,1550.42,23882,0.0649199,1,1,1
10,8,40,836.753,12889,0.0649199,3,5.66667,5
6,9,41,78.7479,1213,0.0649199,2,2.5,2
8,6,42,447.558,6894,0.0649199,3,3.66667,3
10,3,43,484.887,7469,0.0649199,1,1,1
9,2,44,451.908,6961,0.0649199,2,4.5,4
9,0,45,41.9383,646,0.0649199,2,4.5,4
10,2,46,1582.16,24371,0.0649199,1,4,4
5,11,47,866.162,13342,0.0649199,1,2,2
11,7,48,2864.2,44119,0.0649199,1,3,3
7,0,49,86.7979,1337,0.0649199,1,3,3
7,5,50,772.937,11906,0.0649199,2,3.5,3
5,3,51,699.252,10771,0.0649199,1,2,2
11,5,52,652.77,10055,0.0649199,1,2,2
9,4,53,187.164,2883,0.0649199,2,2.5,2
1,4,54,3639.86,56067,0.0649199,1,1,1
8,1,55,1167.97,17991,0.0649199,1,2,2
4,3,56,94.3936,1454,0.0649199,1,2,2
0,2,57,203.069,3128,0.0649199,2,3.5,3
1,7,58,4480.51,69016,0.0649199,3,4.33333,2
7,4,59,10489.8,161581,0.0649199,1,1,1
3,11,60,668.026,10290,0.0649199,2,4,4
2,1,61,2384.96,36737,0.0649199,2,2.5,2
5,0,62,129.32,1992,0.0649199,1,2,2
6,1,63,129.905,2001,0.0649199,2,2,2
4,11,64,979.966,15095,0.0649199,1,2,2
