source,destination,link_id,used_rate,usage,link_capa
11,8,26,14356.3,0.358906,40000
11,1,6,34258,0.856449,40000
10,9,28,6045.81,0.151145,40000
10,3,16,9120.27,0.228007,40000
9,10,29,1150.59,0.0287647,40000
9,7,24,15125.8,0.378144,40000
9,3,14,17527.3,0.438182,40000
8,11,27,29137,0.728425,40000
8,2,10,17247.5,0.431188,40000
7,9,25,18604.8,0.46512,40000
7,4,20,33201.2,0.830031,40000
6,5,22,30228.8,0.75572,40000
6,4,18,22364.2,0.559106,40000
6,3,12,18349.4,0.458734,40000
5,6,23,37801.2,0.94503,40000
5,2,8,29649.9,0.741249,40000
5,1,4,13060.7,0.326517,40000
4,7,21,27615,0.690376,40000
4,6,19,7250.06,0.181251,40000
4,1,2,24522.6,0.613065,40000
3,10,17,3467.29,0.0866822,40000
3,9,15,12097.9,0.302446,40000
3,6,13,28984.2,0.724604,40000
2,8,11,21771.2,0.544279,40000
2,5,9,38418.9,0.960473,40000
1,11,7,21015.8,0.525394,40000
1,5,5,10256,0.2564,40000
1,4,3,40000,1,40000
1,0,0,1045.08,0.0261271,40000
0,1,1,1041.25,0.0260313,40000
