source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
5,10,0,238.683,3580,0.0666712,3,4.33333,3
2,0,1,184.679,2770,0.0666712,2,3.5,3
4,10,2,116.341,1745,0.0666712,2,3,3
7,6,3,184.413,2766,0.0666712,3,3,2
7,8,4,797.988,11969,0.0666712,6,6.66667,4
4,7,5,1095.87,16437,0.0666712,1,1,1
5,2,6,1812.59,27187,0.0666712,2,2.5,1
7,10,7,645.644,9684,0.0666712,1,2,2
7,9,8,1527.17,22906,0.0666712,1,1,1
3,0,9,109.474,1642,0.0666712,6,5.66667,4
4,0,10,55.4705,832,0.0666712,2,3,2
0,6,11,42.0029,630,0.0666712,2,3,3
2,3,12,2017.82,31363,0.0643377,7,5.85714,3
6,8,13,254.884,3823,0.0666712,3,3.66667,3
4,5,14,222.482,3337,0.0666712,2,2,2
3,5,15,512.968,7694,0.0666712,5,4.8,2
11,8,16,2671.45,40069,0.0666712,1,1,1
6,11,17,300.487,4507,0.0666712,2,3,3
9,8,18,363.158,5447,0.0666712,6,6,5
11,3,19,1070.87,16062,0.0666712,6,5.16667,4
6,10,20,129.742,1946,0.0666712,1,2,2
3,6,21,277.686,4165,0.0666712,3,3.33333,1
5,8,22,1246.42,18695,0.0666712,2,2.5,2
0,5,23,52.6036,789,0.0666712,1,2,2
8,9,24,344.624,5169,0.0666712,10,6.3,5
1,8,25,585.573,8783,0.0666712,1,2,2
0,9,26,15.5344,233,0.0666712,5,5.2,4
9,3,27,341.89,5128,0.0666712,2,1.5,1
11,6,28,675.379,10130,0.0666712,4,4,3
1,11,29,2476.84,37150,0.0666712,1,1,1
6,7,30,185.546,2783,0.0666712,3,3,2
6,4,31,192.88,2893,0.0666712,1,1,1
8,7,32,2277.96,34167,0.0666712,8,6,4
8,2,33,8155.69,122327,0.0666712,1,1,1
10,4,34,516.969,7754,0.0666712,2,3,3
6,3,35,264.151,3962,0.0666712,1,1,1
5,6,36,322.755,4841,0.0666712,2,2,1
0,11,37,369.225,5538,0.0666712,1,2,2
2,10,38,338.823,5082,0.0666712,6,6.16667,4
2,8,39,1592.24,23882,0.0666712,1,1,1
10,8,40,859.325,12889,0.0666712,4,5.75,5
6,9,41,80.8722,1213,0.0666712,2,2.5,2
8,6,42,459.631,6894,0.0666712,4,4,3
10,3,43,497.967,7469,0.0666712,1,1,1
9,2,44,464.098,6961,0.0666712,6,5.83333,4
9,0,45,43.0696,646,0.0666712,5,5.2,4
10,2,46,1624.84,24371,0.0666712,4,6,4
5,11,47,889.527,13342,0.0666712,1,2,2
11,7,48,2941.47,44119,0.0666712,4,5.25,3
7,0,49,89.1394,1337,0.0666712,3,5.33333,3
7,5,50,793.788,11906,0.0666712,4,3.75,3
5,3,51,718.116,10771,0.0666712,2,3,2
11,5,52,670.379,10055,0.0666712,2,2.5,2
9,4,53,192.213,2883,0.0666712,3,3,2
1,4,54,3738.06,56067,0.0666712,2,2,1
8,1,55,1199.48,17991,0.0666712,2,2.5,2
4,3,56,96.94,1454,0.0666712,3,3,2
0,2,57,208.548,3128,0.0666712,2,3.5,3
1,7,58,4601.38,69016,0.0666712,4,4.25,2
7,4,59,10772.8,161581,0.0666712,3,3.33333,1
3,11,60,686.047,10290,0.0666712,4,4.75,4
2,1,61,2449.3,36737,0.0666712,2,2.5,2
5,0,62,132.809,1992,0.0666712,1,2,2
6,1,63,133.409,2001,0.0666712,2,2,2
4,11,64,1006.4,15095,0.0666712,1,2,2
11,10,65,528.703,7930,0.0666712,2,5,5
11,1,66,1700.32,25503,0.0666712,1,1,1
1,2,67,409.495,6142,0.0666712,2,2.5,2
5,7,68,1491.17,22366,0.0666712,4,3.75,3
4,1,69,1739.39,26089,0.0666712,1,1,1
9,7,70,639.31,9589,0.0666712,1,1,1
8,0,71,71.7382,1076,0.0666712,2,3.5,3
1,5,72,606.308,9094,0.0666712,1,1,1
3,2,73,934.197,14012,0.0666712,3,5.33333,3
2,5,74,964.799,14471,0.0666712,2,2.5,1
11,4,75,1785.39,26779,0.0666712,2,3,2
10,9,76,1742.99,26143,0.0666712,1,1,1
8,10,77,579.106,8686,0.0666712,4,6,5
7,2,78,28333.2,424969,0.0666712,7,5.85714,4
10,11,79,1078.61,16178,0.0666712,3,5,5
3,1,80,228.282,3424,0.0666712,4,3.75,3
9,11,81,264.151,3962,0.0666712,5,5.2,4
9,5,82,222.549,3338,0.0666712,4,3.75,3
3,7,83,510.168,7652,0.0666712,2,2.5,2
10,6,84,901.195,13517,0.0666712,2,3,2
11,9,85,413.828,6207,0.0666712,8,6.125,4
1,10,86,173.612,2604,0.0666712,3,4,4
1,0,87,143.076,2146,0.0666712,1,1,1
7,3,88,430.629,6459,0.0666712,2,2.5,2
2,6,89,2249.09,33734,0.0666712,4,4,2
2,4,90,21979.7,329673,0.0666712,4,4,3
10,1,91,2756.12,41339,0.0666712,3,4,4
0,7,92,67.738,1016,0.0666712,4,5.25,3
11,0,93,132.142,1982,0.0666712,2,3.5,2
2,9,94,240.15,3602,0.0666712,7,6.71429,4
10,0,95,62.1376,932,0.0666712,3,5,5
0,4,96,116.941,1754,0.0666712,2,3,2
5,1,97,534.437,8016,0.0666712,1,1,1
1,9,98,144.943,2174,0.0666712,5,4.2,3
0,10,99,16.6011,249,0.0666712,3,5,5
3,4,100,509.968,7649,0.0666712,3,3,2
6,5,101,253.351,3800,0.0666712,2,2,1
0,1,102,76.0052,1140,0.0666712,1,1,1
2,11,103,1459.83,21896,0.0666712,1,2,2
9,6,104,133.742,2006,0.0666712,3,2.66667,2
3,9,105,1470.1,22050,0.0666712,2,1.5,1
4,9,106,42.0029,630,0.0666712,3,3,2
4,8,107,456.031,6840,0.0666712,1,3,3
4,2,108,860.925,12913,0.0666712,3,3.33333,3
5,4,109,980.2,14702,0.0666712,2,2,2
4,6,110,135.076,2026,0.0666712,1,1,1
7,1,111,2965.8,44484,0.0666712,5,4.8,2
7,11,112,4746.79,71197,0.0666712,6,5.66667,3
3,10,113,431.363,6470,0.0666712,1,1,1
10,7,114,2431.37,36468,0.0666712,1,2,2
1,3,115,224.015,3360,0.0666712,2,3,3
1,6,116,161.944,2429,0.0666712,2,2,2
10,5,117,1970.47,29555,0.0666712,3,4.33333,3
8,11,118,3198.89,47980,0.0666712,1,1,1
9,1,119,63.671,955,0.0666712,5,4.2,3
8,4,120,2200.02,32998,0.0666712,4,4,3
0,8,121,76.6052,1149,0.0666712,1,3,3
11,2,122,2306.62,34597,0.0666712,1,2,2
6,2,123,521.036,7815,0.0666712,2,3.5,2
5,9,124,139.61,2094,0.0666712,4,4.5,3
0,3,125,27.6686,415,0.0666712,2,4,4
2,7,126,14249,385991,0.0369154,8,6,4
8,5,127,584.907,8773,0.0666712,2,2.5,2
3,8,128,411.828,6177,0.0666712,6,6,4
6,0,129,49.6701,745,0.0666712,2,3,3
9,10,130,409.295,6139,0.0666712,1,1,1
8,3,131,0,11677,0,7,6,4
