source,destination,link_id,used_rate_c,usage,capacity_c
11,8,26,16864.4,0.443024,38066.6
11,1,6,27111.2,0.783048,34622.7
10,9,28,6274.25,0.165265,37964.9
10,3,16,13629.9,0.380331,35837.1
9,10,29,4987.84,0.13138,37964.9
9,7,24,15182,0.397726,38172
9,3,14,15279.3,0.426354,35837.1
8,11,27,21855.2,0.574131,38066.6
8,2,10,20110.5,0.520525,38635.1
7,9,25,20381.6,0.53394,38172
7,4,20,32517.9,0.913,35616.5
6,5,22,29215.1,0.823332,35484
6,4,18,20977.9,0.588994,35616.5
6,3,12,17985.5,0.501868,35837.1
5,6,23,35484,1,35484
5,2,8,28302.3,0.732554,38635.1
5,1,4,16488.5,0.476234,34622.7
4,7,21,19444.8,0.54595,35616.5
4,6,19,4561.61,0.128076,35616.5
4,1,2,26980.2,0.779263,34622.7
3,10,17,4089.97,0.114127,35837.1
3,9,15,11815.9,0.32971,35837.1
3,6,13,31307.5,0.873606,35837.1
2,8,11,15351.7,0.397352,38635.1
2,5,9,37736,0.976727,38635.1
1,11,7,23699.6,0.684509,34622.7
1,5,5,11673.2,0.337154,34622.7
1,4,3,34622.7,1,34622.7
1,0,0,1072.64,0.0309809,34622.7
0,1,1,1068.71,0.0308674,34622.7
