source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
5,10,0,225.653,3580,0.0630316,1,3,3,1
2,0,1,174.598,2770,0.0630316,2,3.5,3,2
4,10,2,109.99,1745,0.0630316,1,3,3,1
7,6,3,174.345,2766,0.0630316,1,2,2,1
7,8,4,754.425,11969,0.0630316,1,4,4,1
4,7,5,1036.05,16437,0.0630316,1,1,1,1
5,2,6,1713.64,27187,0.0630316,1,1,1,1
7,10,7,610.398,9684,0.0630316,1,2,2,1
7,9,8,1443.8,22906,0.0630316,1,1,1,1
3,0,9,103.498,1642,0.0630316,2,4,4,2
4,0,10,52.4423,832,0.0630316,1,2,2,1
0,6,11,39.7099,630,0.0630316,2,3,3,1
2,3,12,1976.86,31363,0.0630316,2,4.5,3,1
6,8,13,240.97,3823,0.0630316,1,3,3,1
4,5,14,210.336,3337,0.0630316,2,2,2,2
3,5,15,484.965,7694,0.0630316,1,2,2,1
11,8,16,2525.61,40069,0.0630316,1,1,1,1
6,11,17,284.083,4507,0.0630316,2,3,3,1
9,8,18,343.333,5447,0.0630316,2,5,5,2
11,3,19,1012.41,16062,0.0630316,2,4,4,2
6,10,20,122.659,1946,0.0630316,1,2,2,1
3,6,21,262.527,4165,0.0630316,1,1,1,1
5,8,22,1178.38,18695,0.0630316,2,2.5,2,2
0,5,23,49.7319,789,0.0630316,1,2,2,1
8,9,24,325.81,5169,0.0630316,2,5,5,2
1,8,25,553.606,8783,0.0630316,1,2,2,1
0,9,26,14.6864,233,0.0630316,1,4,4,1
9,3,27,323.226,5128,0.0630316,1,1,1,1
11,6,28,638.51,10130,0.0630316,2,3,3,2
1,11,29,2341.62,37150,0.0630316,1,1,1,1
6,7,30,175.417,2783,0.0630316,1,2,2,1
6,4,31,182.35,2893,0.0630316,1,1,1,1
8,7,32,2153.6,34167,0.0630316,1,4,4,1
8,2,33,7710.47,122327,0.0630316,1,1,1,1
10,4,34,488.747,7754,0.0630316,2,3,3,2
6,3,35,249.731,3962,0.0630316,1,1,1,1
5,6,36,305.136,4841,0.0630316,1,1,1,1
0,11,37,349.069,5538,0.0630316,1,2,2,1
2,10,38,320.327,5082,0.0630316,1,4,4,1
2,8,39,1505.32,23882,0.0630316,1,1,1,1
10,8,40,812.414,12889,0.0630316,1,5,5,1
6,9,41,76.4573,1213,0.0630316,1,2,2,1
8,6,42,434.54,6894,0.0630316,3,3.66667,3,2
10,3,43,470.783,7469,0.0630316,1,1,1,1
9,2,44,438.763,6961,0.0630316,1,4,4,1
9,0,45,40.7184,646,0.0630316,1,4,4,1
10,2,46,1536.14,24371,0.0630316,1,4,4,1
5,11,47,840.968,13342,0.0630316,1,2,2,1
11,7,48,2780.89,44119,0.0630316,1,3,3,1
7,0,49,84.2732,1337,0.0630316,1,3,3,1
7,5,50,750.454,11906,0.0630316,2,3.5,3,1
5,3,51,678.913,10771,0.0630316,1,2,2,1
11,5,52,633.783,10055,0.0630316,1,2,2,1
9,4,53,181.72,2883,0.0630316,1,2,2,1
1,4,54,3533.99,56067,0.0630316,1,1,1,1
8,1,55,1134,17991,0.0630316,1,2,2,1
4,3,56,91.6479,1454,0.0630316,1,2,2,1
0,2,57,197.163,3128,0.0630316,1,3,3,1
1,7,58,4350.19,69016,0.0630316,2,3.5,2,1
7,4,59,10184.7,161581,0.0630316,1,1,1,1
3,11,60,648.595,10290,0.0630316,2,4,4,2
2,1,61,2315.59,36737,0.0630316,2,2.5,2,2
5,0,62,125.559,1992,0.0630316,1,2,2,1
6,1,63,126.126,2001,0.0630316,2,2,2,1
4,11,64,951.462,15095,0.0630316,1,2,2,1
11,10,65,499.841,7930,0.0630316,2,5,5,1
11,1,66,1607.49,25503,0.0630316,1,1,1,1
1,2,67,387.14,6142,0.0630316,1,2,2,1
5,7,68,1409.76,22366,0.0630316,3,3.33333,3,2
4,1,69,1644.43,26089,0.0630316,1,1,1,1
9,7,70,604.41,9589,0.0630316,1,1,1,1
8,0,71,67.822,1076,0.0630316,1,3,3,1
1,5,72,573.209,9094,0.0630316,1,1,1,1
3,2,73,883.199,14012,0.0630316,1,3,3,1
2,5,74,912.13,14471,0.0630316,1,1,1,1
11,4,75,1687.92,26779,0.0630316,1,2,2,1
10,9,76,1647.83,26143,0.0630316,1,1,1,1
8,10,77,547.492,8686,0.0630316,1,5,5,1
7,2,78,26786.5,424969,0.0630316,3,4.66667,4,2
10,11,79,1019.73,16178,0.0630316,3,5,5,2
3,1,80,215.82,3424,0.0630316,2,3,3,2
9,11,81,249.731,3962,0.0630316,1,4,4,1
9,5,82,210.399,3338,0.0630316,1,3,3,1
3,7,83,482.318,7652,0.0630316,1,2,2,1
10,6,84,851.998,13517,0.0630316,1,2,2,1
11,9,85,391.237,6207,0.0630316,1,4,4,1
1,10,86,164.134,2604,0.0630316,2,4,4,2
1,0,87,135.266,2146,0.0630316,1,1,1,1
7,3,88,407.121,6459,0.0630316,1,2,2,1
2,6,89,2126.31,33734,0.0630316,1,2,2,1
2,4,90,20779.8,329673,0.0630316,2,3.5,3,2
10,1,91,2605.66,41339,0.0630316,3,4,4,2
0,7,92,64.0401,1016,0.0630316,1,3,3,1
11,0,93,124.929,1982,0.0630316,1,2,2,1
2,9,94,227.04,3602,0.0630316,1,4,4,1
10,0,95,58.7454,932,0.0630316,1,5,5,1
0,4,96,110.557,1754,0.0630316,1,2,2,1
5,1,97,505.261,8016,0.0630316,1,1,1,1
1,9,98,137.031,2174,0.0630316,1,3,3,1
0,10,99,15.6949,249,0.0630316,1,5,5,1
3,4,100,482.129,7649,0.0630316,1,2,2,1
6,5,101,239.52,3800,0.0630316,1,1,1,1
0,1,102,71.856,1140,0.0630316,1,1,1,1
2,11,103,1380.14,21896,0.0630316,1,2,2,1
9,6,104,126.441,2006,0.0630316,1,2,2,1
3,9,105,1389.85,22050,0.0630316,1,1,1,1
4,9,106,39.7099,630,0.0630316,1,2,2,1
