source,destination,link_id,used_rate,usage,link_capa
11,8,26,12488.9,0.312222,40000
11,1,6,30571.5,0.764287,40000
10,9,28,9889.47,0.247237,40000
10,3,16,8630.05,0.215751,40000
9,10,29,1321.48,0.0330371,40000
9,7,24,21163.9,0.529096,40000
9,3,14,17933.9,0.448348,40000
8,11,27,25598.9,0.639972,40000
8,2,10,17281.4,0.432034,40000
7,9,25,19785.6,0.494639,40000
7,4,20,31551,0.788776,40000
6,5,22,30829.7,0.770741,40000
6,4,18,18057.1,0.451428,40000
6,3,12,23262.7,0.581568,40000
5,6,23,38426.9,0.960674,40000
5,2,8,30242.5,0.756063,40000
5,1,4,9642.35,0.241059,40000
4,7,21,21370.1,0.534254,40000
4,6,19,7893.08,0.197327,40000
4,1,2,22335.7,0.558392,40000
3,10,17,6955.4,0.173885,40000
3,9,15,13603.8,0.340094,40000
3,6,13,28832.9,0.720823,40000
2,8,11,20431.4,0.510786,40000
2,5,9,40000,1,40000
1,11,7,18955.5,0.473887,40000
1,5,5,5920.61,0.148015,40000
1,4,3,37120.5,0.928011,40000
1,0,0,1014.81,0.0253702,40000
0,1,1,1011.09,0.0252772,40000
