source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,0.909091,2,0.454545,3,2,1
0,4,1,1.35526,3,0.451754,9,2.44444,2
0,5,2,1.33333,3,0.444444,11,2.54545,2
0,7,3,1.45972,4,0.36493,10,2.3,1
1,2,4,0.454545,1,0.454545,2,1.5,1
4,5,5,0.909091,2,0.454545,4,1.75,1
4,6,6,0.909091,2,0.454545,3,1.66667,1
3,4,7,0.454545,1,0.454545,1,1,1
3,9,8,0.454545,1,0.454545,3,1.66667,1
0,10,9,0.355261,1,0.355261,3,1.66667,1
10,5,10,1.36364,3,0.454545,6,2,1
10,6,11,0.909091,2,0.454545,3,1.66667,1
0,6,12,0.415867,1,0.415867,1,1,1
6,8,13,1.81616,4,0.454039,4,1.75,1
2,9,14,2.17258,5,0.434515,9,2.44444,1
1,9,15,0.909091,2,0.454545,4,1.75,1
3,8,16,0.454545,1,0.454545,2,1.5,1
7,9,17,1.31759,3,0.439198,6,2,1
2,3,18,0.454545,1,0.454545,8,2.375,2
2,6,19,1.33131,3,0.443769,12,2.66667,2
10,8,20,1.9865,5,0.3973,7,2.28571,1
6,7,21,1.36364,3,0.454545,4,1.75,1
