source,destination,link_id,used_rate_c,usage,capacity_c
10,8,76,0.870911,1,0.870911
10,5,74,0.772727,0.900817,0.857807
10,2,64,0.396094,0.465642,0.850639
10,3,50,0.772727,0.904884,0.853952
10,7,48,0.818182,0.965109,0.847761
10,6,46,0.850639,1,0.850639
10,1,45,0.681818,0.796699,0.855804
10,0,43,0.0725108,0.0857875,0.845238
9,5,69,0.545455,0.635871,0.857807
9,2,61,0,0,0.850639
9,1,59,0.181818,0.212453,0.855804
9,0,57,0,0,0.845238
9,6,55,0,0,0.850639
9,3,41,0.0270563,0.0316836,0.853952
9,7,39,0.0909091,0.107234,0.847761
9,8,36,0.727273,0.835071,0.870911
8,10,77,0.0454545,0.0521919,0.870911
8,6,71,0.363636,0.427486,0.850639
8,9,37,0.545455,0.626303,0.870911
8,4,35,0.318182,0.370925,0.857807
8,2,29,0,0,0.850639
8,3,21,0.272727,0.319371,0.853952
8,0,7,0,0,0.845238
7,0,73,0,0,0.845238
7,10,49,0,0,0.847761
7,9,38,0.847761,1,0.847761
7,4,33,0.5,0.582882,0.857807
7,2,27,0.0454545,0.0534358,0.850639
7,5,23,0.590909,0.68886,0.857807
7,3,19,0.409091,0.479056,0.853952
7,1,17,0.181818,0.212453,0.855804
7,6,1,0.681818,0.801536,0.850639
6,4,81,0.636364,0.74185,0.857807
6,8,70,0.818182,0.961844,0.850639
6,9,54,0.818182,0.961844,0.850639
6,3,52,0.681818,0.798427,0.853952
6,10,47,0.181818,0.213743,0.850639
6,0,5,0,0,0.845238
6,7,0,0.727273,0.854972,0.850639
5,3,83,0,0,0.853952
5,10,75,0,0,0.857807
5,9,68,0.818182,0.953807,0.857807
5,4,31,0.136364,0.158968,0.857807
5,2,25,0,0,0.850639
5,7,22,0.0454545,0.0529893,0.857807
5,1,15,0,0,0.855804
4,6,80,0.772727,0.900817,0.857807
4,3,79,0.5,0.585513,0.853952
4,2,67,0,0,0.850639
4,8,34,0.818182,0.953807,0.857807
4,7,32,0.5,0.582882,0.857807
4,5,30,0.636364,0.74185,0.857807
4,1,13,0.181818,0.212453,0.855804
3,5,82,0.572511,0.670425,0.853952
3,4,78,0.454545,0.532285,0.853952
3,6,53,0.681818,0.798427,0.853952
3,10,51,0,0,0.853952
3,9,40,0.818182,0.958112,0.853952
3,8,20,0.818182,0.958112,0.853952
3,7,18,0.545455,0.638742,0.853952
3,1,11,0.272727,0.31868,0.855804
2,4,66,0.772727,0.908408,0.850639
2,10,65,0.345238,0.405857,0.850639
2,9,60,0.850639,1,0.850639
2,8,28,0.850639,1,0.850639
2,7,26,0.772727,0.908408,0.850639
2,5,24,0.818182,0.961844,0.850639
2,1,9,0.772727,0.902926,0.855804
2,0,3,0,0,0.845238
1,0,63,0,0,0.845238
1,9,58,0.855804,1,0.855804
1,10,44,0,0,0.855804
1,7,16,0.481602,0.562748,0.855804
1,5,14,0.636364,0.743586,0.855804
1,4,12,0.590909,0.690473,0.855804
1,3,10,0.590909,0.690473,0.855804
1,2,8,0.409091,0.47802,0.855804
0,7,72,0.845238,1,0.845238
0,1,62,0.845238,1,0.845238
0,9,56,0.845238,1,0.845238
0,10,42,0.845238,1,0.845238
0,8,6,0.845238,1,0.845238
0,6,4,0.845238,1,0.845238
0,2,2,0.845238,1,0.845238
