source,destination,link_id,used_rate_c,usage,capacity_c
10,8,76,0.83425,1,0.83425
10,5,74,0.826164,1,0.826164
10,2,64,0.645325,0.784765,0.822316
10,3,50,0.818584,0.995692,0.822126
10,7,48,0.819603,0.998594,0.820757
10,6,46,0.825303,1,0.825303
10,1,45,0.795577,0.967254,0.822511
10,0,43,0,0,0.82141
9,5,69,0.544248,0.658765,0.826164
9,2,61,0,0,0.822316
9,1,59,0.0575221,0.0699347,0.822511
9,0,57,0,0,0.82141
9,6,55,0,0,0.825303
9,3,41,0,0,0.822126
9,7,39,0.272737,0.332299,0.820757
9,8,36,0.825303,0.989276,0.83425
8,10,77,0,0,0.83425
8,6,71,0.0221239,0.026807,0.825303
8,9,37,0.707965,0.848624,0.83425
8,4,35,0.449728,0.545768,0.824028
8,2,29,0,0,0.822316
8,3,21,0.318584,0.387512,0.822126
8,0,7,0,0,0.82141
7,0,73,0,0,0.82141
7,10,49,0,0,0.820757
7,9,38,0.820757,1,0.820757
7,4,33,0.56739,0.688558,0.824028
7,2,27,0.0176991,0.0215235,0.822316
7,5,23,0.618199,0.748277,0.826164
7,3,19,0.468144,0.569431,0.822126
7,1,17,0.384956,0.468025,0.822511
7,6,1,0.778761,0.943606,0.825303
6,4,81,0.761062,0.923588,0.824028
6,8,70,0.825303,1,0.825303
6,9,54,0.825303,1,0.825303
6,3,52,0.765487,0.931106,0.822126
6,10,47,0.00884956,0.0107228,0.825303
6,0,5,0,0,0.82141
6,7,0,0.787611,0.954329,0.825303
5,3,83,0.0558109,0.0678861,0.822126
5,10,75,0,0,0.826164
5,9,68,0.826164,1,0.826164
5,4,31,0.129337,0.156958,0.824028
5,2,25,0,0,0.822316
5,7,22,0.110619,0.133895,0.826164
5,1,15,0.0132743,0.0161388,0.822511
4,6,80,0.824028,1,0.824028
4,3,79,0.726492,0.883675,0.822126
4,2,67,0,0,0.822316
4,8,34,0.824028,1,0.824028
4,7,32,0.737339,0.894799,0.824028
4,5,30,0.765487,0.928958,0.824028
4,1,13,0.261062,0.317396,0.822511
3,5,82,0.712389,0.866521,0.822126
3,4,78,0.632743,0.769643,0.822126
3,6,53,0.822126,1,0.822126
3,10,51,0,0,0.822126
3,9,40,0.822126,1,0.822126
3,8,20,0.822126,1,0.822126
3,7,18,0.725664,0.882667,0.822126
3,1,11,0.261062,0.317396,0.822511
2,4,66,0.822316,1,0.822316
2,10,65,0.640574,0.778987,0.822316
2,9,60,0.822316,1,0.822316
2,8,28,0.822316,1,0.822316
2,7,26,0.822316,1,0.822316
2,5,24,0.822316,1,0.822316
2,1,9,0.822511,1,0.822511
2,0,3,0,0,0.82141
1,0,63,0,0,0.82141
1,9,58,0.822511,1,0.822511
1,10,44,0,0,0.822511
1,7,16,0.555923,0.675885,0.822511
1,5,14,0.752212,0.914531,0.822511
1,4,12,0.64552,0.784816,0.822511
1,3,10,0.667259,0.811246,0.822511
1,2,8,0.473451,0.575617,0.822511
0,7,72,0.82141,1,0.82141
0,1,62,0.82141,1,0.82141
0,9,56,0.82141,1,0.82141
0,10,42,0.82141,1,0.82141
0,8,6,0.82141,1,0.82141
0,6,4,0.82141,1,0.82141
0,2,2,0.82141,1,0.82141
