source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,0.91891,2,0.459455,2,1.5,1
0,4,1,1.38462,3,0.461538,8,2.5,2
0,5,2,1.34615,3,0.448718,9,2.44444,2
0,7,3,1.53013,4,0.382532,10,2.4,1
1,2,4,0.461538,1,0.461538,2,1.5,1
4,5,5,0.923077,2,0.461538,3,1.66667,1
4,6,6,0.923077,2,0.461538,3,1.66667,1
3,4,7,0.461538,1,0.461538,1,1,1
3,9,8,0.461538,1,0.461538,3,1.66667,1
0,10,9,0.376282,1,0.376282,4,1.75,1
10,5,10,1.38462,3,0.461538,6,2,1
10,6,11,0.923077,2,0.461538,2,1.5,1
0,6,12,0.303526,1,0.303526,2,1.5,1
6,8,13,1.76954,4,0.442384,4,1.75,1
2,9,14,2.15545,5,0.431091,7,2.28571,1
1,9,15,0.923077,2,0.461538,3,1.66667,1
3,8,16,0.461538,1,0.461538,1,1,1
7,9,17,1.31318,3,0.437725,6,2,1
2,3,18,0.461538,1,0.461538,5,2.2,2
2,6,19,1.34646,3,0.44882,9,2.66667,2
10,8,20,1.97517,5,0.395035,8,2.5,1
6,7,21,1.38462,3,0.461538,6,2,1
