source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,0.909091,2,0.454545,4,2,1,3
0,4,1,1.36364,3,0.454545,7,2.28571,2,5
0,5,2,1.36364,3,0.454545,11,2.63636,2,5
0,7,3,1.81818,4,0.454545,7,2.14286,1,5
1,2,4,0.454545,1,0.454545,3,1.66667,1,1
4,5,5,0.909091,2,0.454545,4,1.75,1,3
4,6,6,0.909091,2,0.454545,3,1.66667,1,2
3,4,7,0.454545,1,0.454545,1,1,1,1
3,9,8,0.454545,1,0.454545,3,1.66667,1,2
0,10,9,0.454545,1,0.454545,3,1.66667,1,3
10,5,10,1.36364,3,0.454545,5,1.8,1,5
10,6,11,0.909091,2,0.454545,2,1.5,1,1
0,6,12,0.454545,1,0.454545,3,1.66667,1,1
6,8,13,1.81818,4,0.454545,4,1.75,1,2
2,9,14,2.27273,5,0.454545,9,2.22222,1,5
1,9,15,0.909091,2,0.454545,4,1.75,1,2
3,8,16,0.454545,1,0.454545,1,1,1,1
7,9,17,1.36364,3,0.454545,5,2,1,3
2,3,18,0.454545,1,0.454545,4,2,2,2
2,6,19,1.36364,3,0.454545,9,2.55556,2,4
10,8,20,2.27273,5,0.454545,7,2.42857,1,5
6,7,21,1.36364,3,0.454545,5,2,1,3
