source,destination,length,path
0,1,1,0,1,0.323
0,1,2,0,9,1,0.003
0,1,2,0,2,1,0.202
0,1,3,0,8,3,1,0.005
0,4,2,0,7,4,0.441
0,4,2,0,2,4,0.294
0,4,2,0,8,4,0.274
0,4,2,0,6,4,0.009
0,5,2,0,9,5,0.303
0,5,2,0,10,5,0.001
0,5,2,0,2,5,0.002
0,5,3,0,9,3,5,0.004
0,5,3,0,8,3,5,0.138
0,5,3,0,2,1,5,0.001
0,5,2,0,7,5,0.001
0,5,3,0,10,2,5,0.0
0,5,3,0,10,1,5,0.003
0,5,3,0,6,3,5,0.146
0,7,1,0,7,0.289
0,7,2,0,6,7,0.102
0,7,2,0,10,7,0.305
0,7,2,0,1,7,0.439
0,7,2,0,9,7,0.26
0,7,3,0,6,4,7,0.103
1,2,1,1,2,0.374
1,2,2,1,10,2,0.008
4,5,1,4,5,0.648
4,5,2,4,1,5,0.216
4,6,1,4,6,0.541
4,6,2,4,3,6,0.326
3,4,1,3,4,0.436
3,9,1,3,9,0.324
3,9,2,3,1,9,0.004
3,9,3,3,4,8,9,0.0
0,10,1,0,10,0.258
0,10,2,0,6,10,0.004
0,10,2,0,2,10,0.102
10,5,1,10,5,0.734
10,5,2,10,2,5,0.162
10,5,2,10,1,5,0.162
10,5,2,10,3,5,0.109
10,5,2,10,7,5,0.108
10,6,1,10,6,0.665
10,6,2,10,3,6,0.107
0,6,1,0,6,0.278
0,6,2,0,8,6,0.003
6,8,1,6,8,0.751
6,8,2,6,9,8,0.643
6,8,2,6,3,8,0.101
6,8,2,6,4,8,0.107
2,9,1,2,9,0.752
2,9,2,2,1,9,0.146
2,9,2,2,8,9,0.427
2,9,2,2,0,9,0.002
2,9,2,2,5,9,0.37
2,9,2,2,7,9,0.161
1,9,1,1,9,0.583
1,9,2,1,3,9,0.217
3,8,1,3,8,0.302
3,8,3,3,1,4,8,0.109
7,9,1,7,9,0.612
7,9,2,7,5,9,0.319
7,9,2,7,6,9,0.108
7,9,2,7,3,9,0.213
2,3,2,2,10,3,0.108
2,3,2,2,1,3,0.162
2,3,2,2,7,3,0.002
2,3,2,2,4,3,0.108
2,6,2,2,8,6,0.244
2,6,2,2,7,6,0.425
2,6,3,2,10,3,6,0.106
2,6,2,2,4,6,0.161
2,6,3,2,7,3,6,0.106
2,6,3,2,10,7,6,0.107
2,6,2,2,10,6,0.109
10,8,1,10,8,0.783
10,8,2,10,0,8,0.184
10,8,3,10,1,4,8,0.405
10,8,2,10,3,8,0.253
10,8,3,10,2,4,8,0.007
10,8,2,10,2,8,0.003
10,8,3,10,7,3,8,0.008
6,7,1,6,7,0.594
6,7,2,6,4,7,0.27
6,7,2,6,10,7,0.106
6,7,2,6,3,7,0.324
