source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,0.952914,2,0.476457,9,2.44444,1
0,4,1,1.31776,3,0.439252,24,3,2
0,5,2,1.40197,3,0.467324,23,2.91304,2
0,7,3,1.59728,4,0.399319,21,2.90476,1
1,2,4,0.48927,1,0.48927,3,1.66667,1
4,5,5,0.978541,2,0.48927,4,1.75,1
4,6,6,0.978541,2,0.48927,4,2,1
3,4,7,0.48927,1,0.48927,3,1.66667,1
3,9,8,0.484979,1,0.484979,9,2.33333,1
0,10,9,0.319483,1,0.319483,2,1.5,1
10,5,10,1.46781,3,0.48927,9,2.33333,1
10,6,11,0.978541,2,0.48927,9,2.66667,1
0,6,12,0.160465,1,0.160465,6,2,1
6,8,13,1.81425,4,0.453563,4,1.75,1
2,9,14,2.3148,5,0.462961,28,3.03571,1
1,9,15,0.936956,2,0.468478,7,2.28571,1
3,8,16,0.48927,1,0.48927,3,2,1
7,9,17,1.02137,3,0.340456,11,2.54545,1
2,3,18,0.48927,1,0.48927,9,2.33333,2
2,6,19,1.31889,3,0.43963,23,3.04348,2
10,8,20,1.96444,5,0.392887,17,3,1
6,7,21,1.46781,3,0.48927,7,2.28571,1
