source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,0.941176,2,0.470588,4,2,1,3
0,4,1,1.41176,3,0.470588,9,2.44444,2,6
0,5,2,1.41176,3,0.470588,9,2.55556,2,6
0,7,3,1.88235,4,0.470588,9,2.33333,1,6
1,2,4,0.470588,1,0.470588,2,1.5,1,1
4,5,5,0.941176,2,0.470588,3,1.66667,1,3
4,6,6,0.941176,2,0.470588,3,1.66667,1,2
3,4,7,0.470588,1,0.470588,2,1.5,1,1
3,9,8,0.470588,1,0.470588,4,1.75,1,2
0,10,9,0.470588,1,0.470588,4,1.75,1,3
10,5,10,1.41176,3,0.470588,6,2,1,5
10,6,11,0.941176,2,0.470588,3,2,1,2
0,6,12,0.470588,1,0.470588,2,1.5,1,2
6,8,13,1.88235,4,0.470588,3,1.66667,1,3
2,9,14,2.35294,5,0.470588,11,2.63636,1,4
1,9,15,0.941176,2,0.470588,4,1.75,1,3
3,8,16,0.470588,1,0.470588,1,1,1,1
7,9,17,1.41176,3,0.470588,7,2.14286,1,3
2,3,18,0.470588,1,0.470588,4,2,2,4
2,6,19,1.41176,3,0.470588,12,2.58333,2,7
10,8,20,2.35294,5,0.470588,9,2.55556,1,6
6,7,21,1.41176,3,0.470588,5,2,1,4
