source,destination,link_id,used_rate,usage,link_capa
10,8,76,0.666667,0.666667,1
10,5,74,0.6,0.6,1
10,2,64,0.333333,0.333333,1
10,3,50,0.466667,0.466667,1
10,7,48,0.466667,0.466667,1
10,6,46,0.666667,0.666667,1
10,1,45,0.466667,0.466667,1
10,0,43,0.0666667,0.0666667,1
9,5,69,0.466667,0.466667,1
9,2,61,0,0,1
9,1,59,0.133333,0.133333,1
9,0,57,0,0,1
9,6,55,0.233333,0.233333,1
9,3,41,0.0666667,0.0666667,1
9,7,39,0.0666667,0.0666667,1
9,8,36,0.4,0.4,1
8,10,77,0.0666667,0.0666667,1
8,6,71,0.4,0.4,1
8,9,37,0.433333,0.433333,1
8,4,35,0.333333,0.333333,1
8,2,29,0,0,1
8,3,21,0.3,0.3,1
8,0,7,0,0,1
7,0,73,0,0,1
7,10,49,0,0,1
7,9,38,0.6,0.6,1
7,4,33,0.266667,0.266667,1
7,2,27,0.1,0.1,1
7,5,23,0.466667,0.466667,1
7,3,19,0.333333,0.333333,1
7,1,17,0,0,1
7,6,1,0.6,0.6,1
6,4,81,0.4,0.4,1
6,8,70,0.533333,0.533333,1
6,9,54,0.533333,0.533333,1
6,3,52,0.266667,0.266667,1
6,10,47,0.1,0.1,1
6,0,5,0,0,1
6,7,0,0.466667,0.466667,1
5,3,83,0,0,1
5,10,75,0,0,1
5,9,68,0.6,0.6,1
5,4,31,0,0,1
5,2,25,0,0,1
5,7,22,0,0,1
5,1,15,0,0,1
4,6,80,0.6,0.6,1
4,3,79,0.366667,0.366667,1
4,2,67,0.133333,0.133333,1
4,8,34,0.533333,0.533333,1
4,7,32,0.333333,0.333333,1
4,5,30,0.533333,0.533333,1
4,1,13,0.2,0.2,1
3,5,82,0.466667,0.466667,1
3,4,78,0.366667,0.366667,1
3,6,53,0.6,0.6,1
3,10,51,0,0,1
3,9,40,0.6,0.6,1
3,8,20,0.533333,0.533333,1
3,7,18,0.4,0.4,1
3,1,11,0.2,0.2,1
2,4,66,0.5,0.5,1
2,10,65,0.266667,0.266667,1
2,9,60,0.666667,0.666667,1
2,8,28,0.633333,0.633333,1
2,7,26,0.466667,0.466667,1
2,5,24,0.6,0.6,1
2,1,9,0.433333,0.433333,1
2,0,3,0.0666667,0.0666667,1
1,0,63,0,0,1
1,9,58,0.666667,0.666667,1
1,10,44,0.1,0.1,1
1,7,16,0.433333,0.433333,1
1,5,14,0.466667,0.466667,1
1,4,12,0.333333,0.333333,1
1,3,10,0.366667,0.366667,1
1,2,8,0.333333,0.333333,1
0,7,72,0.733333,0.733333,1
0,1,62,0.766667,0.766667,1
0,9,56,0.766667,0.766667,1
0,10,42,0.7,0.7,1
0,8,6,0.733333,0.733333,1
0,6,4,0.7,0.7,1
0,2,2,0.733333,0.733333,1
