source,destination,link_id,used_rate_c,usage,capacity_c
10,8,76,0.867778,1,0.867778
10,5,74,0.772727,0.890467,0.867778
10,2,64,0.492167,0.575094,0.855804
10,3,50,0.727273,0.849813,0.855804
10,7,48,0.772727,0.908408,0.850639
10,6,46,0.850639,1,0.850639
10,1,45,0.727273,0.845685,0.859981
10,0,43,0.0750339,0.0885083,0.847761
9,5,69,0.409091,0.471424,0.867778
9,2,61,0,0,0.855804
9,1,59,0.136364,0.158566,0.859981
9,0,57,0,0,0.847761
9,6,55,0,0,0.850639
9,3,41,0.0909091,0.106227,0.855804
9,7,39,0.256852,0.301952,0.850639
9,8,36,0.636364,0.733326,0.867778
8,10,77,0,0,0.867778
8,6,71,0.181818,0.213743,0.850639
8,9,37,0.636364,0.733326,0.867778
8,4,35,0.454545,0.529893,0.857807
8,2,29,0,0,0.855804
8,3,21,0.272727,0.31868,0.855804
8,0,7,0,0,0.847761
7,0,73,0,0,0.847761
7,10,49,0,0,0.850639
7,9,38,0.850639,1,0.850639
7,4,33,0.5,0.582882,0.857807
7,2,27,0.0454545,0.0531133,0.855804
7,5,23,0.636364,0.733326,0.867778
7,3,19,0.409091,0.47802,0.855804
7,1,17,0.0454545,0.0528553,0.859981
7,6,1,0.727273,0.854972,0.850639
6,4,81,0.636364,0.74185,0.857807
6,8,70,0.850639,1,0.850639
6,9,54,0.818182,0.961844,0.850639
6,3,52,0.636364,0.743586,0.855804
6,10,47,0.136364,0.160307,0.850639
6,0,5,0,0,0.847761
6,7,0,0.727273,0.854972,0.850639
5,3,83,0,0,0.855804
5,10,75,0,0,0.867778
5,9,68,0.772727,0.890467,0.867778
5,4,31,0.0454545,0.0529893,0.857807
5,2,25,0,0,0.855804
5,7,22,0,0,0.867778
5,1,15,0,0,0.859981
4,6,80,0.772727,0.900817,0.857807
4,3,79,0.5,0.584246,0.855804
4,2,67,0,0,0.855804
4,8,34,0.818182,0.953807,0.857807
4,7,32,0.454545,0.529893,0.857807
4,5,30,0.636364,0.74185,0.857807
4,1,13,0.181818,0.211421,0.859981
3,5,82,0.545455,0.63736,0.855804
3,4,78,0.454545,0.531133,0.855804
3,6,53,0.727273,0.849813,0.855804
3,10,51,0,0,0.855804
3,9,40,0.772727,0.902926,0.855804
3,8,20,0.818182,0.956039,0.855804
3,7,18,0.5,0.584246,0.855804
3,1,11,0.227273,0.264277,0.859981
2,4,66,0.772727,0.902926,0.855804
2,10,65,0.454545,0.531133,0.855804
2,9,60,0.855804,1,0.855804
2,8,28,0.855804,1,0.855804
2,7,26,0.772727,0.902926,0.855804
2,5,24,0.802307,0.937489,0.855804
2,1,9,0.727273,0.845685,0.859981
2,0,3,0,0,0.847761
1,0,63,0,0,0.847761
1,9,58,0.859981,1,0.859981
1,10,44,0.0454545,0.0528553,0.859981
1,7,16,0.43867,0.510093,0.859981
1,5,14,0.636364,0.739974,0.859981
1,4,12,0.5,0.581408,0.859981
1,3,10,0.5,0.581408,0.859981
1,2,8,0.363636,0.422843,0.859981
0,7,72,0.847761,1,0.847761
0,1,62,0.847761,1,0.847761
0,9,56,0.847761,1,0.847761
0,10,42,0.847761,1,0.847761
0,8,6,0.847761,1,0.847761
0,6,4,0.847761,1,0.847761
0,2,2,0.847761,1,0.847761
