source,destination,length,path
0,1,1,0,1,0.778
0,4,2,0,7,4,0.143
0,4,2,0,2,4,0.156
0,4,2,0,8,4,0.546
0,4,3,0,9,1,4,0.143
0,4,2,0,6,4,0.161
0,5,2,0,9,5,0.357
0,5,2,0,10,5,0.004
0,5,2,0,2,5,0.434
0,5,3,0,6,3,5,0.006
0,5,3,0,9,3,5,0.145
0,7,1,0,7,0.634
0,7,2,0,6,7,0.152
0,7,2,0,10,7,0.455
0,7,2,0,9,7,0.153
1,2,1,1,2,0.324
1,2,2,1,7,2,0.003
4,5,1,4,5,0.649
4,5,2,4,1,5,0.162
4,6,1,4,6,0.485
4,6,2,4,3,6,0.323
3,4,1,3,4,0.406
3,9,1,3,9,0.405
0,10,1,0,10,0.235
0,10,2,0,2,10,0.163
10,5,1,10,5,0.648
10,5,2,10,2,5,0.002
10,5,2,10,1,5,0.162
10,5,2,10,3,5,0.243
10,5,2,10,7,5,0.006
10,6,1,10,6,0.768
0,6,1,0,6,0.389
6,8,1,6,8,0.759
6,8,2,6,4,8,0.161
6,8,2,6,9,8,0.646
2,9,1,2,9,0.775
2,9,2,2,8,9,0.385
2,9,2,2,1,9,0.551
2,9,2,2,5,9,0.163
1,9,1,1,9,0.161
1,9,2,1,5,9,0.161
1,9,2,1,3,9,0.16
1,9,2,1,7,9,0.321
3,8,1,3,8,0.405
7,9,1,7,9,0.47
7,9,2,7,5,9,0.393
7,9,2,7,3,9,0.005
7,9,3,7,4,8,9,0.157
7,9,2,7,1,9,0.004
2,3,2,2,1,3,0.001
2,3,2,2,10,3,0.162
2,3,2,2,7,3,0.162
2,6,2,2,7,6,0.489
2,6,2,2,8,6,0.155
2,6,3,2,4,3,6,0.0
2,6,2,2,4,6,0.162
2,6,3,2,4,8,6,0.004
2,6,3,2,4,7,6,0.162
2,6,4,2,10,1,3,6,0.006
10,8,1,10,8,0.816
10,8,2,10,0,8,0.233
10,8,2,10,3,8,0.232
10,8,3,10,1,4,8,0.31
10,8,2,10,2,8,0.235
6,7,1,6,7,0.566
6,7,2,6,3,7,0.401
6,7,2,6,4,7,0.162
6,7,2,6,10,7,0.008
