source,destination,link_id,used_rate,usage,link_capa
34,32,159,0.369077,0.000615129,600
34,29,155,0.474246,0.00079041,600
34,26,147,0.365437,0.000609061,600
34,21,135,0.0618943,0.000103157,600
34,16,111,0.320394,0.00053399,600
33,16,109,0.950052,0.00158342,600
33,12,95,0.0743772,0.000123962,600
33,10,85,0.0479551,7.99252e-05,600
33,2,25,0,0,600
32,34,158,0.884725,0.00147454,600
32,30,157,0.87994,0.00146657,600
32,29,153,0.882956,0.00147159,600
32,28,149,0.311864,0.000519774,600
32,24,141,0.3981,0.0006635,600
32,21,133,0.507846,0.000846409,600
32,6,55,0.0416096,6.93494e-05,600
32,0,5,0,0,600
31,25,143,0.718286,0.00119714,600
31,23,139,0.442622,0.000737704,600
31,7,63,0.0550287,9.17146e-05,600
30,32,156,0.228749,0.000381248,600
30,29,151,0.460202,0.000767004,600
30,20,131,0.458226,0.00076371,600
30,0,3,0,0,600
29,34,154,0.378856,0.000631426,600
29,32,152,0.146986,0.000244977,600
29,30,150,0.251738,0.000419564,600
29,26,145,0.41672,0.000694534,600
29,20,129,0.164982,0.00027497,600
28,32,148,1.09704,0.0018284,600
28,22,137,0.358675,0.000597792,600
28,18,123,0.505973,0.000843288,600
28,11,91,0.12899,0.000214983,600
28,9,81,0.497443,0.000829072,600
28,8,73,0.272231,0.000453718,600
28,6,53,0.704035,0.00117339,600
28,4,41,0.450008,0.000750014,600
28,1,17,0.479863,0.000799772,600
27,17,119,0.649526,0.00108254,600
27,15,103,0.723904,0.00120651,600
27,5,45,0.226356,0.000377261,600
27,3,33,0.67418,0.00112363,600
26,34,146,0.413496,0.000689159,600
26,29,144,0.528546,0.000880911,600
26,20,127,0.529274,0.000882124,600
26,17,117,0.30219,0.00050365,600
26,16,107,0.222299,0.000370499,600
25,31,142,0.825847,0.00137641,600
25,17,115,1.04679,0.00174466,600
25,14,99,0.668043,0.0011134,600
25,5,43,0.420985,0.000701642,600
25,3,31,0.000208048,3.46747e-07,600
24,32,140,0.875259,0.00145876,600
24,6,51,0.561626,0.000936043,600
24,4,39,0.308223,0.000513706,600
24,0,1,0.751262,0.0012521,600
23,31,138,0.884829,0.00147471,600
23,19,125,0.531979,0.000886632,600
23,11,89,0.459786,0.000766311,600
23,9,79,0.508886,0.000848143,600
23,7,61,0.39862,0.000664367,600
22,28,136,0.68167,0.00113612,600
22,18,121,0.614366,0.00102394,600
22,13,97,0.201807,0.000336344,600
22,11,87,0.446159,0.000743599,600
22,8,71,0.172368,0.00028728,600
21,34,134,0.947971,0.00157995,600
21,32,132,0.837394,0.00139566,600
21,17,113,0.760104,0.00126684,600
21,16,105,0.88098,0.0014683,600
21,6,49,0.45136,0.000752267,600
21,1,15,0.169455,0.000282425,600
20,30,130,0.21741,0.000362351,600
20,29,128,0.268902,0.00044817,600
20,26,126,0.418593,0.000697655,600
19,23,124,0.628409,0.00104735,600
19,8,69,0.339431,0.000565718,600
18,28,122,0.57026,0.000950433,600
18,22,120,0.472061,0.000786769,600
18,4,37,0.610413,0.00101736,600
17,27,118,0.628409,0.00104735,600
17,26,116,1.02755,0.00171258,600
17,25,114,0.803794,0.00133966,600
17,21,112,0.938609,0.00156435,600
17,15,101,0.733266,0.00122211,600
17,3,29,0.739923,0.00123321,600
17,2,23,0.750222,0.00125037,600
16,34,110,0.858199,0.00143033,600
16,33,108,0.510862,0.000851437,600
16,26,106,0.855078,0.00142513,600
16,21,104,0.65764,0.00109607,600
16,12,93,0.382288,0.000637147,600
15,27,102,0.835521,0.00139254,600
15,17,100,0.8117,0.00135283,600
15,10,83,0.699978,0.00116663,600
15,2,21,0.506597,0.000844329,600
14,25,98,0.903137,0.00150523,600
14,9,77,0.739819,0.00123303,600
14,7,59,0.680525,0.00113421,600
14,3,27,0.882436,0.00147073,600
