source,destination,link_id,used_rate,usage,link_capa
15,13,97,0,0,1000
15,8,79,0,0,1000
14,13,95,0,0,1000
14,12,93,0,0,1000
14,11,89,0,0,1000
14,9,85,0,0,1000
14,8,77,0,0,1000
14,6,69,0,0,1000
14,4,51,0,0,1000
14,1,25,0,0,1000
14,0,15,0,0,1000
13,15,96,0,0,1000
13,14,94,0,0,1000
13,12,91,0,0,1000
13,9,83,0,0,1000
13,8,75,0,0,1000
13,6,67,0,0,1000
12,14,92,0,0,1000
12,13,90,0,0,1000
12,11,87,0,0,1000
12,6,65,0,0,1000
12,4,49,0,0,1000
12,1,23,0,0,1000
12,0,13,0,0,1000
11,14,88,0,0,1000
11,12,86,0,0,1000
11,6,63,0,0,1000
11,4,47,0,0,1000
11,1,21,0,0,1000
11,0,11,0,0,1000
10,9,81,0,0,1000
10,8,73,0,0,1000
10,3,45,0,0,1000
10,2,35,0,0,1000
9,14,84,0,0,1000
9,13,82,0,0,1000
9,10,80,0,0,1000
9,8,71,0,0,1000
9,6,61,0,0,1000
9,3,43,0,0,1000
8,15,78,0,0,1000
8,14,76,0,0,1000
8,13,74,0,0,1000
8,10,72,0,0,1000
8,9,70,0,0,1000
8,6,59,0,0,1000
8,3,41,0,0,1000
7,6,57,0,0,1000
7,5,55,0,0,1000
7,3,39,0,0,1000
7,2,33,0,0,1000
7,0,9,0,0,1000
6,14,68,0,0,1000
6,13,66,0,0,1000
6,12,64,0,0,1000
6,11,62,0,0,1000
6,9,60,0,0,1000
6,8,58,0,0,1000
6,7,56,0,0,1000
6,5,53,0,0,1000
6,3,37,0,0,1000
6,2,31,0,0,1000
6,0,7,0,0,1000
5,7,54,0,0,1000
5,6,52,0,0,1000
5,2,29,0,0,1000
5,1,19,0,0,1000
5,0,5,0,0,1000
4,14,50,0,0,1000
4,12,48,0,0,1000
4,11,46,0,0,1000
4,1,17,0,0,1000
4,0,3,0,0,1000
3,10,44,0,0,1000
3,9,42,0,0,1000
3,8,40,0,0,1000
3,7,38,0,0,1000
3,6,36,0,0,1000
3,2,27,0,0,1000
2,10,34,0,0,1000
2,7,32,0,0,1000
2,6,30,0,0,1000
2,5,28,0,0,1000
2,3,26,0,0,1000
1,14,24,0,0,1000
1,12,22,0,0,1000
1,11,20,0,0,1000
1,5,18,0,0,1000
1,4,16,0,0,1000
1,0,1,0,0,1000
0,14,14,0,0,1000
0,12,12,0,0,1000
0,11,10,0,0,1000
0,7,8,0,0,1000
0,6,6,0,0,1000
0,5,4,0,0,1000
0,4,2,0,0,1000
0,1,0,0,0,1000
