source,destination,link_id,used_rate_c,usage,capacity_c
16,8,42,17.2228,1,17.2228
16,0,37,2.30241,0.134415,17.1291
16,1,29,4.84536,0.282541,17.1492
16,5,5,1.03093,0.0555445,18.5604
15,1,27,14.0923,0.821744,17.1492
15,14,23,0.103093,0.00541767,19.029
15,13,17,5.60137,0.319616,17.5253
14,15,22,12.6804,0.666373,19.029
14,12,20,6.90722,0.369682,18.6842
13,3,18,12.1649,0.614073,19.8103
13,15,16,9.41581,0.537269,17.5253
13,0,14,13.0584,0.762354,17.1291
13,12,12,7.1134,0.380717,18.6842
12,14,21,5.56701,0.297953,18.6842
12,13,13,12.5773,0.673152,18.6842
11,10,39,12.4413,0.647747,19.2071
11,1,31,0.962199,0.0561074,17.1492
10,9,40,10.5513,0.590724,17.8616
10,11,38,1.47766,0.0769332,19.2071
9,7,50,9.20962,0.496198,18.5604
9,8,49,1.03093,0.0598584,17.2228
9,10,41,0.103093,0.00577174,17.8616
8,9,48,12.9897,0.754216,17.2228
8,6,45,15.1905,0.785503,19.3385
8,16,43,0.0687285,0.00399056,17.2228
8,1,33,0,0,17.1492
7,9,51,1.54639,0.0833168,18.5604
7,6,47,1.03093,0.0533095,19.3385
6,7,46,6.66667,0.344735,19.3385
6,8,44,1.54639,0.0799643,19.3385
5,16,4,16.0481,0.864643,18.5604
5,0,2,8.52234,0.497536,17.1291
5,2,0,4.67354,0.253335,18.448
4,3,10,10.7216,0.541217,19.8103
4,0,8,9.24399,0.539667,17.1291
4,2,6,7.38832,0.400493,18.448
3,13,19,2.13058,0.107549,19.8103
3,4,11,7.86942,0.397239,19.8103
2,0,34,8.35052,0.487505,17.1291
2,4,7,3.67698,0.199315,18.448
2,5,1,6.11684,0.331571,18.448
1,8,32,17.1492,1,17.1492
1,11,30,17.1492,1,17.1492
1,16,28,10.8591,0.633212,17.1492
1,15,26,8.04124,0.468898,17.1492
1,0,24,11.9588,0.698156,17.1291
0,16,36,15.945,0.930875,17.1291
0,2,35,5.05155,0.294911,17.1291
0,1,25,15.8763,0.926862,17.1291
0,13,15,6.49485,0.379171,17.1291
0,4,9,6.01375,0.351084,17.1291
0,5,3,0.446735,0.0260805,17.1291
