source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
5,4,0,0,4,0,0,-nan,2,0
5,13,1,0,4,0,0,-nan,2,0
5,14,2,0,4,0,0,-nan,4,0
5,12,3,0,4,0,0,-nan,3,0
5,1,4,0,12,0,0,-nan,2,0
5,2,5,0,8,0,0,-nan,1,0
5,0,6,0,8,0,0,-nan,1,0
5,10,7,0,2,0,0,-nan,4,0
5,15,8,0,4,0,0,-nan,3,0
5,16,9,0,14,0,0,-nan,1,0
5,11,10,0,2,0,0,-nan,3,0
5,6,11,0,4,0,0,-nan,3,0
5,8,12,0,4,0,0,-nan,2,0
5,9,13,0,6,0,0,-nan,3,0
5,7,14,0,4,0,0,-nan,4,0
4,13,15,0,2,0,0,-nan,2,0
4,14,16,0,2,0,0,-nan,4,0
4,12,17,0,2,0,0,-nan,3,0
4,1,18,0,6,0,0,-nan,2,0
4,2,19,0,6,0,0,-nan,1,0
4,0,20,0,6,0,0,-nan,1,0
4,10,21,0,2,0,0,-nan,4,0
4,15,22,0,2,0,0,-nan,3,0
4,16,23,0,4,0,0,-nan,2,0
4,11,24,0,2,0,0,-nan,3,0
4,6,25,0,2,0,0,-nan,4,0
4,8,26,0,2,0,0,-nan,3,0
4,9,27,0,2,0,0,-nan,4,0
4,7,28,0,2,0,0,-nan,5,0
13,14,29,0,8,0,0,-nan,2,0
13,12,30,0,8,0,0,-nan,1,0
13,1,31,0,10,0,0,-nan,2,0
13,2,32,0,4,0,0,-nan,2,0
13,0,33,0,6,0,0,-nan,1,0
13,10,34,0,2,0,0,-nan,4,0
13,15,35,0,6,0,0,-nan,1,0
13,16,36,0,6,0,0,-nan,2,0
13,11,37,0,2,0,0,-nan,3,0
13,6,38,0,4,0,0,-nan,4,0
13,8,39,0,2,0,0,-nan,3,0
13,9,40,0,4,0,0,-nan,4,0
13,7,41,0,2,0,0,-nan,5,0
14,12,42,0,10,0,0,-nan,1,0
14,1,43,0,12,0,0,-nan,2,0
14,2,44,0,4,0,0,-nan,4,0
14,0,45,0,6,0,0,-nan,3,0
14,10,46,0,2,0,0,-nan,4,0
14,15,47,0,12,0,0,-nan,1,0
14,16,48,0,6,0,0,-nan,3,0
14,11,49,0,2,0,0,-nan,3,0
14,6,50,0,4,0,0,-nan,4,0
14,8,51,0,4,0,0,-nan,3,0
14,9,52,0,4,0,0,-nan,4,0
14,7,53,0,2,0,0,-nan,5,0
12,1,54,0,8,0,0,-nan,3,0
12,2,55,0,4,0,0,-nan,3,0
12,0,56,0,4,0,0,-nan,2,0
12,10,57,0,2,0,0,-nan,5,0
12,15,58,0,6,0,0,-nan,2,0
12,16,59,0,4,0,0,-nan,3,0
12,11,60,0,2,0,0,-nan,4,0
12,6,61,0,2,0,0,-nan,5,0
12,8,62,0,2,0,0,-nan,4,0
12,9,63,0,4,0,0,-nan,5,0
12,7,64,0,2,0,0,-nan,6,0
1,2,65,0,12,0,0,-nan,2,0
1,0,66,0,14,0,0,-nan,1,0
1,10,67,0,4,0,0,-nan,2,0
1,15,68,0,12,0,0,-nan,1,0
1,16,69,0,18,0,0,-nan,1,0
1,11,70,0,10,0,0,-nan,1,0
1,6,71,0,10,0,0,-nan,2,0
1,3,72,0,50,0,0,-nan,3,0
1,8,73,0,10,0,0,-nan,1,0
1,9,74,0,14,0,0,-nan,2,0
1,7,75,0,8,0,0,-nan,3,0
2,0,76,0,10,0,0,-nan,1,0
2,10,77,0,2,0,0,-nan,4,0
2,15,78,0,4,0,0,-nan,3,0
2,16,79,0,8,0,0,-nan,2,0
2,11,80,0,2,0,0,-nan,3,0
2,6,81,0,4,0,0,-nan,4,0
2,8,82,0,4,0,0,-nan,3,0
2,9,83,0,4,0,0,-nan,4,0
2,7,84,0,4,0,0,-nan,5,0
0,10,85,0,2,0,0,-nan,3,0
0,15,86,0,6,0,0,-nan,2,0
0,16,87,0,10,0,0,-nan,1,0
0,11,88,0,4,0,0,-nan,2,0
0,6,89,0,4,0,0,-nan,3,0
0,8,90,0,4,0,0,-nan,2,0
0,9,91,0,6,0,0,-nan,3,0
0,7,92,0,4,0,0,-nan,4,0
10,15,93,0,2,0,0,-nan,3,0
10,16,94,0,2,0,0,-nan,3,0
10,11,95,0,2,0,0,-nan,1,0
10,6,96,0,2,0,0,-nan,3,0
10,8,97,0,2,0,0,-nan,2,0
10,9,98,0,4,0,0,-nan,1,0
10,7,99,0,2,0,0,-nan,2,0
15,16,100,0,6,0,0,-nan,2,0
15,11,101,0,2,0,0,-nan,2,0
15,6,102,0,4,0,0,-nan,3,0
15,8,103,0,4,0,0,-nan,2,0
15,9,104,0,4,0,0,-nan,3,0
15,7,105,0,4,0,0,-nan,4,0
16,11,106,0,4,0,0,-nan,2,0
16,6,107,0,8,0,0,-nan,2,0
16,8,108,0,6,0,0,-nan,1,0
16,9,109,0,8,0,0,-nan,2,0
16,7,110,0,6,0,0,-nan,3,0
11,6,111,0,2,0,0,-nan,3,0
11,8,112,0,2,0,0,-nan,2,0
11,9,113,0,4,0,0,-nan,2,0
11,7,114,0,2,0,0,-nan,3,0
6,8,115,0,6,0,0,-nan,1,0
6,9,116,0,6,0,0,-nan,2,0
6,7,117,0,6,0,0,-nan,1,0
8,9,118,0,6,0,0,-nan,1,0
8,7,119,0,4,0,0,-nan,2,0
9,7,120,0,8,0,0,-nan,1,0
