source,destination,link_id,used_rate_c,usage,capacity_c
13,5,31,9.70606,0.501903,19.3385
13,1,9,0.845831,0.0422915,20
13,0,5,1.93161,0.0965807,20
12,6,37,14.7271,0.76154,19.3385
12,2,15,6.91062,0.347767,19.8714
12,0,3,3.91722,0.206056,19.0105
11,4,25,12.4415,0.629915,19.7511
11,3,21,8.42831,0.426726,19.7511
11,2,13,9.20216,0.463085,19.8714
11,1,7,4.44511,0.225056,19.7511
10,9,41,13.3473,0.675777,19.7511
10,8,39,5.81284,0.294305,19.7511
10,5,29,8.65027,0.447308,19.3385
10,4,23,1.60168,0.0810932,19.7511
9,10,40,16.9466,0.858009,19.7511
9,6,35,6.24475,0.322918,19.3385
9,3,19,4.75705,0.237852,20
8,10,38,17.4265,0.882306,19.7511
8,6,33,12.5135,0.647076,19.3385
8,3,17,4.0192,0.20096,20
7,5,27,8.66227,0.447928,19.3385
7,2,11,11.5357,0.580517,19.8714
6,12,36,12.8674,0.665378,19.3385
6,9,34,14.6431,0.757197,19.3385
6,8,32,5.5069,0.284763,19.3385
5,13,30,6.56869,0.339668,19.3385
5,10,28,16.7606,0.866697,19.3385
5,7,26,11.0198,0.569837,19.3385
4,11,24,19.1542,0.969777,19.7511
4,10,22,19.7511,1,19.7511
3,11,20,16.2088,0.820651,19.7511
3,9,18,15.9448,0.797241,20
3,8,16,13.8272,0.691362,20
2,12,14,10.9118,0.549122,19.8714
2,11,12,14.889,0.749269,19.8714
2,7,10,10.7379,0.540367,19.8714
1,13,8,10.5039,0.525195,20
1,11,6,15.9268,0.806376,19.7511
1,0,1,7.03659,0.35183,20
0,13,4,9.52609,0.476305,20
0,12,2,13.7073,0.721037,19.0105
0,1,0,7.5105,0.375525,20
